No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
2781,Multiannual,383675,265345,52.28599,-2.240734,0.7997054,0.7976941,0.8971029,0.903006614,1.0003699,0.8258182,0.6640775,0.84215534,0.9190729,0.888247879,0.9567587,0.8715653,1.878368024,1.506575369,283.6455717,7.772891658,0.006714584,4.472742605,100406.1148,323.6715168,120.3041479,72.60495758,7.454365253,35.39999771,19,45,36,1.419999957,27,39,34,1.360000014,33,0.01,2.415859512,126.4423673,1001,0,Triassic Sandstone,loam,loam
2782,Multiannual,438221,458289,54.019184,-1.418143,0.8045168,0.8886275,0.8990885,0.893826082,1.001654,0.9529071,0.41043603,0.6416131,0.6731734,0.63229895,0.9949226,0.8530336,1.960460019,1.445552261,283.0459567,7.298685801,0.006433201,4.35063907,100646.7846,320.2988369,116.6410736,44.20663071,4.634225845,4.399997711,19,37,44,1.409999967,31,31,38,1.330000043,260,0.01,2.21620256,216.0810933,251,0,Magnesian Limestone,loam,clay loam
2784,Annual,398824,143816,51.193559,-2.018203,0.9214275,0.9078501,0.96102464,0.951713666,0.9903822,0.91705436,0.8381598,0.7294601,0.9403102,0.94091862,0.9446745,0.74199235,2.167141291,1.49388193,283.8137623,7.812595891,0.006835656,3.648559713,100189.4053,322.780541,126.3535878,95.98522949,1.748156428,0,19,37,44,1.409999967,0,0,0,0,550,0.015,10.91444302,36.8216936,51,317.8641663,Chalk,loam,
2799,Annual,452455,135055,51.112392,-1.252031,0.87234503,0.8762848,0.94576067,0.953925035,0.99505544,0.88891906,0.76249826,0.8440794,0.95965695,0.948182143,0.98917323,0.84977925,2.237458923,1.471681821,283.8316945,8.427272862,0.006814294,4.230840701,100262.7441,321.7379213,120.0685204,104.2891235,2.957059622,9.600006104,19,37,44,1.409999967,0,0,0,0,550,0.015,44.09664274,85.71508831,1,0,Chalk,loam,
2800,Annual,478065,146645,51.213677,-0.883732,0.9291272,0.9114384,0.9650734,0.971931502,1.0013425,0.9186277,0.90559226,0.87327784,0.9560628,0.958855679,1.0063999,0.8813113,2.102409637,1.458511627,283.5298513,8.449890581,0.006706828,4.199401101,99703.32206,320.097395,119.4651042,146.6971436,4.786902905,30.30000305,19,37,44,1.409999967,0,0,0,0,550,0.015,21.76812251,299.4993064,251,0,Chalk,loam,
2809,Annual,403410,164286,51.377612,-1.952387,0.88769567,0.8740121,0.9441339,0.944179042,1.0113283,0.88764566,0.87753415,0.7965607,0.948496,0.956308297,1.0165521,0.80388594,2.096878421,1.468968469,283.4839621,8.146276078,0.006717479,3.643518393,99643.37426,321.4963015,124.6279397,139.2126923,1.256531239,3,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,5.819358724,228.475933,51,0,Lower Greensand,loam,loam
2811,Decadal,440545,462323,54.05526,-1.382139,0.78947115,0.8116907,0.8903606,0.887829655,1.0038419,0.84694946,-0.02808404,0.60031617,0.6433498,0.523245743,1.0374717,0.8235265,1.942661564,1.431998176,282.9832398,7.298685801,0.006416586,4.357728803,100556.673,319.9512261,115.7404222,48.75991058,3.550174952,4.600002289,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.441713915,93.37524337,251,40.00677109,Triassic Sandstone,loam,clay loam
2818,Multiannual,491690,138410,51.137626,-0.690814,0.83253664,0.8080704,0.91799486,0.862447039,0.9978455,0.82648563,0.38342917,0.34071898,0.77215767,0.768203407,0.9859911,0.38149956,2.375301211,1.444779659,283.7854806,8.449890581,0.006794448,4.178126754,100181.476,320.9313295,117.5733339,118.4669037,2.375631094,32.19999695,5,89,6,1.700000048,5,89,6,1.700000048,270,0.0006,14.08318534,191.0763459,501,0,Lower Greensand,sand,sand
2820,Multiannual,441224,453303,53.974143,-1.372987,0.60691786,0.55077213,0.8130735,0.818485803,1.1826385,0.6346133,-0.13187969,0.13883287,0.26807153,0.394274208,0.76987636,0.6089364,1.925136914,1.44894915,283.2096935,7.170043959,0.006480881,4.361673324,101151.7862,321.0496391,116.6725902,22.72541428,0.692401171,2.400001526,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.832862333,128.9726783,251,0,Triassic Sandstone,loam,clay loam
2826,Annual,390310,185982,51.572616,-2.141205,0.90554893,0.8901719,0.9534308,0.943933027,1.0266764,0.9041782,0.7590305,0.75165635,0.89227605,0.888035155,1.1610191,0.8446198,2.088061335,1.466173382,283.8709476,7.50607898,0.006828221,3.703405455,100431.4413,323.848277,121.9165234,76.36371613,3.102371693,2.299995422,22,42,36,1.399999976,0,0,0,0,184,0.02,6.055821376,86.66520295,51,0,Oolites,loam,
2828,Annual,425455,145155,51.205039,-1.637012,0.93716353,0.915204,0.9694947,0.970528897,1.0029389,0.920936,0.88627005,0.8407792,0.95989954,0.947076186,0.98224133,0.84693867,2.109364734,1.501380409,283.7262893,8.146276078,0.006786495,4.310949003,100047.9914,321.9307429,122.6956408,113.838768,2.039695024,3.099998474,19,37,44,1.409999967,0,0,0,0,550,0.015,22.97510681,178.3360488,1,25.18505287,Chalk,loam,
2832,Annual,507285,437161,53.819651,-0.371792,0.78060365,0.74271387,0.8926767,0.90068013,0.97870004,0.7671403,0.556185,0.6066688,0.8307782,0.863336363,1.3086107,0.82440484,1.76823658,1.468493516,283.3512211,6.699781022,0.006592115,4.713286397,101073.7585,320.8605121,118.4187208,1.746210933,1.313423991,0.399999976,22,39,39,1.389999986,28,37,35,1.350000024,550,0.015,13.74290989,1117.099848,51,0,Chalk,loam,clay loam
2833,Annual,506761,464214,54.062805,-0.370302,0.87976277,0.831466,0.9435463,0.949576281,0.9926711,0.8413723,0.7481261,0.6995631,0.8850676,0.890632217,1.0881432,0.73678255,1.936637462,1.422257064,283.0734351,6.475027417,0.006529197,3.998235807,100588.0755,319.4678071,120.2966261,23.34078217,2.61051631,0,24,47,29,1.389999986,34,39,27,1.330000043,550,0.015,9.691203429,45.3700896,51,48774.55859,Chalk,loam,clay loam
2840,Annual,598710,321850,52.757691,0.943312,0.8665153,0.83289146,0.9413625,0.955363607,0.9973612,0.84354085,0.8530873,0.81963146,0.9383062,0.906480811,0.997118,0.83053666,1.858817083,1.532686076,283.6768006,7.787020949,0.006693145,4.427889853,100924.7892,320.6013644,123.4129204,46.86855698,1.317611337,25.69999886,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,71.08375473,63.73546883,1001,0,Chalk,loam,clay loam
2843,Multiannual,363225,319295,52.769978,-2.546504,0.82999134,0.8737875,0.9117263,0.910148098,0.9982049,0.90981346,-0.68781924,0.8066274,0.83722603,0.81616548,1.0466884,0.9066345,1.731872946,1.415834163,283.5749159,7.561281574,0.006677205,3.736223594,100602.0041,323.8098505,116.6057824,57.7231369,0.862104475,6.600002289,49,19,32,1.24000001,47,21,32,1.24000001,30,0.14,0.152327616,84.26217313,1001,0,Permian Sandstone,clay,clay
2853,Annual,365650,147870,51.228973,-2.493316,0.6475102,0.6272603,0.81722116,0.874530723,0.9984522,0.6751553,0.5837835,0.6628377,0.8149096,0.844158895,1.0285195,0.7196319,2.911938667,1.44227097,283.3015967,7.812595891,0.006714787,4.549243824,99155.55103,320.948367,120.2478363,160.5161438,10.14789486,18.5,19,37,44,1.409999967,31,31,38,1.330000043,20,0.01,2.592369785,110.2023159,51,0,Carboniferous Limestone,loam,clay loam
2854,Annual,391064,649153,55.735669,-2.143864,0.78999877,0.6921389,0.92244565,0.933424736,1.0184771,0.70264304,0.6517993,0.6152113,0.84667397,0.799305274,1.0287719,0.6482552,1.916703178,1.39977057,282.3919968,6.225136983,0.006166866,4.038533115,100069.0078,317.1130646,115.7011466,8.583436966,2.538173914,1.399999619,9,77,14,1.600000024,17,67,16,1.480000019,1,0.06,6.531221556,33,1,0,Unallocated to aquifers,sandy loam,sandy loam
2855,Annual,551342,245280,52.08518,0.207384,0.8258785,0.8351659,0.92501664,0.922167723,0.99552506,0.8532772,0.7630255,0.8038183,0.940689,0.89715361,0.99263126,0.81314474,1.475301201,1.507860929,283.7315304,8.084611253,0.006657882,4.507768171,100515.7618,320.9756577,116.598566,72.47827911,5.387790203,15.79999924,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,55.95543531,124.5462155,5001,0,Chalk,sandy loam,sandy loam
2862,Annual,593419,281203,52.394655,0.841302,0.8969795,0.87048477,0.95094824,0.943021645,0.99634457,0.8801905,0.7122202,0.8463563,0.9264017,0.903805487,0.97286737,0.86789024,1.713964949,1.521797254,283.989139,8.134556528,0.006742932,4.19306092,101331.9856,321.7045358,120.3026494,21.45855331,1.561214685,12.19999981,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,68.16344072,62.72956647,5001,0,Chalk,sand,loamy sand
2868,Annual,504379,437457,53.822901,-0.415815,0.8134824,0.7559444,0.9128794,0.910328071,1.002849,0.7720425,0.5944519,0.6866331,0.8094721,0.830179979,1.1078492,0.77579886,1.824096392,1.471099317,283.326,6.699781022,0.006580198,4.690942728,101018.2597,320.7789001,118.7002988,6.840507507,0.77275604,0.900000095,24,47,29,1.389999986,34,39,27,1.330000043,550,0.015,11.1944206,712.9858516,51,28.46854401,Chalk,loam,clay loam
2876,Annual,447965,360215,53.136928,-1.284474,0.68610257,0.71488523,0.8305327,0.855911797,0.9987184,0.77072066,0.55664253,0.61206,0.7774007,0.883374985,0.97503966,0.6832616,2.156243159,1.428302343,282.7855172,7.156845677,0.006381774,4.36523917,99482.46203,319.166344,115.1319432,173.0986023,5.478103161,7.699996948,19,37,44,1.409999967,31,31,38,1.330000043,260,0.01,1.338426516,1135.263854,2501,0,Carboniferous Limestone,loam,clay loam
2878,Annual,546235,244708,52.081412,0.13266,0.88945067,0.8288642,0.95047355,0.950482575,0.99785554,0.83620185,0.5234579,0.7042942,0.74265003,0.712752421,0.99335253,0.8545058,1.45125958,1.515287902,283.8730777,8.084611253,0.00669871,4.480024063,100802.9617,321.740662,116.4657368,46.28495026,1.634345651,4.899997711,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,53.46345876,136.1084292,5001,6628.411621,Chalk,sandy loam,sandy loam
2895,Multiannual,352085,322955,52.802001,-2.712144,0.92466235,0.8857312,0.9696803,0.954799062,1.0039006,0.8898978,0.1417008,0.8227054,0.82329094,0.814023862,0.98968625,1.0100514,1.956407447,1.418018646,283.4282266,7.561281574,0.006645763,3.776590016,100316.441,323.2064423,117.788898,82.00376892,3.043102264,0,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,0.639339617,58.81657547,251,0,Triassic Sandstone,sandy loam,sandy loam
2897,Annual,567282,270541,52.307495,0.452266,0.737288,0.85043156,0.8666005,0.884992847,0.9941199,0.9326175,0.59528595,0.57681394,0.7900133,0.843851324,0.9957044,0.63261384,1.482584883,1.508197153,284.0606928,8.084611253,0.006749262,3.932327565,101363.1872,322.4472046,119.553779,16.0115242,3.127803326,5.400000572,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,51.1731117,100.6439633,5001,172.6553497,Chalk,sand,loamy sand
2902,Annual,494776,448078,53.920167,-0.558367,0.8325691,0.82485735,0.91785926,0.927181313,0.9957084,0.8453736,0.74838376,0.7008339,0.88063896,0.888058325,1.003413,0.7256982,1.985925522,1.423589867,282.9476531,7.297097527,0.006464844,4.637095143,100566.9782,319.0847217,116.8008923,70.00681305,0.713142693,33.79999924,19,37,44,1.409999967,0,0,0,0,550,0.015,8.756796813,51.02314947,51,29.76890564,Chalk,loam,
2909,Annual,354345,318655,52.763546,-2.678023,0.7292339,0.8486281,0.8606186,0.874035204,1.0046829,0.9411444,0.5493428,0.67874,0.79736435,0.798283526,0.98292685,0.75129557,1.836692222,1.422025897,283.5289213,7.561281574,0.006674286,3.77088922,100492.892,323.6484706,117.6039519,69.53405762,0.88627249,2.700004578,9,77,14,1.600000024,17,67,16,1.480000019,30,0.14,0.623830373,240.9937353,1001,0,Permian Sandstone,sandy loam,sandy loam
