No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
2790,Multiannual,365385,328345,TRUE,-164.42126,-10.212119,0.20358369,0.228299852,1.3072895,12.17963,3.294394697,0.220714685
2796,Annual,446580,216540,TRUE,-13.92791,-0.22649515,0.71764255,0.68198613,2.1076243,1.4446728,9.442851845,2.803911439
2802,Annual,518485,408285,FALSE,-1.6055226,0.02860272,0.6429293,0.594155465,1.2708038,0.13815406,9.399916261,1.916545657
2806,Annual,542795,381065,FALSE,-86.05715,-1.6707075,0.23264253,0.237376862,0.757822,3.54662,7.929248468,0.221545734
2812,Annual,587386,305276,TRUE,-177.33711,0.15996599,0.364615,0.39693571,0.6918538,1.454962,38.33819155,0.889785993
2847,Annual,434975,221835,TRUE,-10.540125,-1.3179612,-0.4447497,-0.397674137,0.96410334,2.8122828,7.093809934,0.707165319
2848,Annual,646118,259734,TRUE,-1.2937365,-0.11511552,0.7313727,0.811549657,0.97876704,2.082081,0.488624865,0.159521638
2865,Annual,390610,136320,TRUE,-8047.9805,-18.210106,-0.11314044,0.038128692,0.37727478,20.16775,82.74155303,0.58961414
2867,Annual,497021,448091,TRUE,-371.83463,-1.3262639,0.43848643,0.365144421,3.2539816,1.1255952,22.06660112,2.580325475
2871,Multiannual,379765,304205,TRUE,-24.248943,-2.8967724,0.5844153,0.557201379,1.1563778,4.871405,5.702416707,0.357776236
2880,Annual,581500,154690,FALSE,-36378.227,-53.787518,0.10818737,0.163386029,15.567548,53.808056,2.56430889,0.204112469
2885,Annual,597318,293441,TRUE,-28.662834,-0.37437427,-0.27524143,-0.274673872,0.5905035,1.3081855,6.034160233,0.482454834
2886,Annual,312812,99233,TRUE,-452.75784,-0.80527294,0.10537603,0.085362092,0.40589473,2.4511087,13.26818375,0.372727703
2901,Annual,503595,344265,TRUE,-16.254982,-0.29003143,0.6675161,0.705243569,2.2446272,0.9326212,5.026895964,1.534226247
2910,Annual,565597,122641,FALSE,-131.56477,-7.1449594,0.3798173,0.747683519,0.6344075,9.113102,8.883223054,0.436175104
2915,Annual,499825,323385,FALSE,-173.35114,-1.5753574,0.34019148,0.372694693,3.4894016,0.9993277,5.408964974,1.023635776
2919,Annual,586637,327012,TRUE,-423.1591,-2.158713,0.748309,0.714428163,4.083172,1.6388966,2.487677515,0.372957829
2930,Annual,386440,176290,FALSE,-26.077581,0.12612796,0.6856003,0.714519041,1.5126094,0.36593634,28.81606204,2.872405226
2938,Annual,418293,136088,TRUE,-2253.9421,-8.066208,0.6775918,0.700877308,9.437387,4.301955,1.274541157,0.227151276
2945,Annual,552228,137037,FALSE,-123.78341,-3.2266884,0.35991597,0.390144116,5.172036,1.2220569,4.480810454,1.684429251
2948,Annual,499911,444161,TRUE,-94.68653,-1.7728617,0.09877488,0.125489761,3.2501264,2.3466601,6.104580283,1.450787478
2972,Multiannual,542202,126857,TRUE,-1693.4971,-1.6095178,0.7755457,0.725976156,0.5115279,3.5535562,30.11982586,0.358273254
2981,Annual,598956,285441,TRUE,-2159.071,-19.728958,0.7183583,0.742892336,21.710188,1.8363818,0.876783131,0.390855794
2989,Multiannual,613164,154883,TRUE,-1433.3556,-17.274921,0.07177939,0.028522348,0.6023682,19.247026,63.64269965,0.775208309
2993,Multiannual,509406,444019,TRUE,-5040.236,-28.790195,0.4742717,0.544154683,6.8217583,30.211313,1.373374304,0.124021326
