No,DECIPHeR-GW_No,elev,label,easting,northing,NSE_DGW,KGE_DGW,Pearson_r_DGW,Spearman_r_DGW,Mean_ratio_DGW,STD_ratio_DGW,NSE_LSTM_10,KGE_LSTM_10,Pearson_r_LSTM_10,Spearman_r_LSTM_10,Mean_ratio_LSTM_10,STD_ratio_LSTM_10,Pearson_diff,Pearson_calss,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
586,2439,180.5866852,Shalden Manor,469505,141905,-160.1353879,-0.33172368,0.576489671,0.47402734,1.164457579,2.251830925,-108.23778,0.7011187,0.7435869,0.728503089,1.1365899,0.9298189,-0.167097229,Others,54,2.355093098,1.453919913,283.4285066,8.427272862,0.006684387,4.204864701,99467.84865,319.6573402,120.3525675,180.5866852,1.745035648,54.8999939,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,31.55244568,305.6661161,501,0,Chalk,sandy clay loam,clay loam
603,1260,105.1357346,Heath End,458205,162865,-876.5877005,-0.940300233,-0.029769416,0.024101313,0.612277819,2.598127484,-1797.4407,-0.66065526,0.21544161,0.270615758,0.44330147,2.3536396,-0.245211026,Others,1670,1.927327488,1.494517869,283.7886039,8.427272862,0.006769544,4.242946927,100285.7436,321.9508089,120.6785893,105.1357346,0.778166413,13.5,6,75,19,1.629999995,7,79,14,1.629999995,100,0.005,21.01959152,233.8611061,51,0,Chalk,sandy loam,loamy sand
637,827,161.1767578,Dummer Village,458855,146055,-9.347956576,0.770977761,0.802565787,0.787997083,0.929636665,0.907696593,-8.107017,0.74208385,0.80523473,0.741657646,0.93410385,0.84429276,-0.002668943,Both Perform Well,62,2.335158815,1.454591264,283.5492684,8.427272862,0.006716571,4.228516424,99734.25546,320.5191862,118.8540999,161.1767578,0.484552354,16.29998779,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,34.07260984,362.7019291,1,0,Chalk,loam,loam
669,511,31.33539009,Caudle Common,586092,303080,-52.59870563,-1.986038914,0.097830693,0.154007248,3.796053658,1.533481842,-803.9675,-10.388868,0.47245997,0.5560153,12.086639,3.552408,-0.374629277,Others,49,1.868236582,1.531000823,283.7828214,7.787020949,0.006692396,4.211911876,100966.6338,321.115654,122.3355726,31.33539009,4.945590973,3.20000267,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,56.52101026,61.57651643,5001,0,Chalk,loam,clay loam
683,2905,145.4871521,Waltham Well Cottage,610938,148896,0.204623726,0.17719308,0.823534547,0.761776739,0.974874547,0.196731749,-14.669061,-0.024416208,0.6038972,0.568790181,0.65976965,0.11865197,0.219637347,Both Perform Well,59,2.225082146,1.504297068,283.6933331,6.701862052,0.006873713,4.51205554,99631.38072,319.6009327,126.0505392,145.4871521,0.782675683,49.50000763,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,25.14424588,109.0240691,1001,0,Chalk,sandy clay loam,clay loam
697,147,222.8627625,Barbury Castle,414545,176455,0.210195885,0.228517557,0.507540167,0.47685564,0.984433095,0.406345097,-17.115551,0.3780291,0.94137615,0.942255991,1.3406179,0.48290196,-0.433835983,LSTM outperform,59,2.161336258,1.464407372,283.0395706,8.146276078,0.006568057,5.121868007,98814.51724,319.4049378,116.8609777,222.8627625,6.852643013,43.80000305,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,19.4122403,134.8419339,51,0,Chalk,loam,clay loam
700,2808,64.92463684,Tillington,496055,122035,-3783.435774,-28.5060254,-0.173016179,-0.19876618,3.5807679,30.36952851,-1133.7654,-1.7633588,0.7004012,0.710296789,2.623379,3.216093,-0.873417379,Others,58,2.339868563,1.522081691,283.9705022,6.336254195,0.006878533,4.156813747,100432.0186,321.4420958,125.9756617,64.92463684,3.034227371,48.40000153,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,6.246655208,56.4955544,1001,7.126821995,Lower Greensand,sandy loam,sandy loam
748,684,10.77464867,Council Houses Oxborough,574327,301697,-13.46101203,0.248935703,0.750067882,0.68806322,0.759053079,0.333984913,-12.346545,0.025505245,0.78475493,0.79170521,0.7788907,1.9243551,-0.034687048,Both Perform Well,56,1.734556409,1.516122534,283.9469213,7.787020949,0.006730133,4.103461483,101291.0755,322.0741508,120.3808526,10.77464867,0.812401891,2.900000572,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,44.85221036,35.51648287,5001,0.286249995,Chalk,sand,loamy sand
751,3116,94.12808228,Winterbourne Farm,445765,172445,-494.806362,-23.08292954,0.829773175,0.886419905,-23.0649777,1.913983934,-391.3522,-20.355814,0.7690563,0.817406601,22.148731,3.9581769,0.060716875,Both Perform Well,1505,1.866100766,1.466674936,283.743855,8.427272862,0.006753945,3.521728265,100248.1197,322.1439143,122.6862065,94.12808228,1.671885967,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,28.04038051,168.1587598,51,0,Chalk,loam,clay loam
767,2133,123.6120758,Peasemore,446125,176275,-5.407022314,0.134960821,0.688921876,0.677687171,0.559230349,0.323800845,-4.1766257,0.5305494,0.817687,0.830248899,1.3995757,1.165787,-0.128765124,Both Perform Well,1270,1.916429353,1.422610889,283.5638707,8.427272862,0.006697105,3.52250048,99904.48852,321.3394248,119.5743738,123.6120758,4.962615013,3.900001526,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,26.92836753,61.54395241,51,5.540248871,Chalk,silt loam,loam
785,2040,104.6066589,Old Castle Dallington,565468,119119,-170.2604723,-6.800611816,0.469825401,0.433919979,3.312753025,8.43099139,-36.53604,-0.37139976,0.85703135,0.841685901,2.3638823,1.011123,-0.387205949,LSTM outperform,58,2.458817086,1.391698945,283.8925505,6.103997887,0.00695311,4.222472418,100150.4385,320.574537,117.46779,104.6066589,7.66973877,18.20000458,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,3.694811257,83.70608256,501,0,Corallian Limestone,loam,clay loam
800,1528,169.0644531,Kingsmilldown,610570,143953,-22.34895788,0.244086477,0.712322062,0.707666681,1.377298362,0.411533684,-0.5629281,0.22117919,0.86655974,0.927658207,0.9242851,0.23644067,-0.154237678,Both Perform Well,59,2.278806127,1.507769586,283.66263,6.701862052,0.006881277,4.496313059,99562.86381,319.4897937,127.324739,169.0644531,2.336825609,38.19999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,21.83665999,97.09112784,1001,0,Chalk,sandy clay loam,clay loam
859,877,34.38078308,Egdean,499825,119865,-19.0504434,-0.659695116,-0.167961506,-0.25200726,1.270068142,2.147831432,-44.637295,-0.14076054,0.27583855,0.215645861,0.5123798,0.2657311,-0.443800056,Others,58,2.432201535,1.479222403,284.3612733,6.336254195,0.007002895,3.395691537,101215.1407,323.1834637,125.464417,34.38078308,9.356496811,16.49999809,21,39,40,1.399999976,21,41,38,1.399999976,270,0.0006,4.987096846,78.28291209,1001,0,Lower Greensand,loam,loam
890,1204,107.3000031,Hardwick Hall,434770,529240,-2272.530476,-1.242617697,0.0237003,0.132947233,0.597405317,2.978406063,-2477.598,-2.6427197,0.0986266,0.135724177,0.5804756,4.5044303,-0.0749263,Others,1822,1.864567359,1.386386254,282.4353444,6.11478648,0.006251348,4.322075075,99604.54985,317.044802,114.3339226,107.3000031,3.060391665,11.69999695,22,41,37,1.399999976,29,37,34,1.350000024,260,0.01,0.759500651,138.0759607,251,0,Magnesian Limestone,loam,clay loam
900,1966,93.76413727,North Court Wood,624070,143381,0.177485057,0.178416448,0.825010499,0.758099795,1.033170836,0.197953927,-32.063618,0.3060041,0.795502,0.793984962,0.42815286,0.6641404,0.029508499,Both Perform Well,56,2.466319825,1.517841161,283.7573236,6.701862052,0.006945893,4.57887711,99730.87635,319.991067,129.0668127,93.76413727,9.701795578,9.199996948,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,32.56448111,263.0944058,1001,0,Chalk,sandy clay loam,clay loam
901,388,46.60559845,Brock Cottage,496495,163345,-274.9325033,-6.90369486,0.187597329,0.183656101,0.331292012,8.833340537,-657.17285,-2.1241,0.8308738,0.813934194,2.203553,3.8780084,-0.643276471,LSTM outperform,1825,1.738608978,1.475764327,284.1395305,8.449890581,0.006861416,3.452407897,100992.8462,322.9607716,122.5809114,46.60559845,0.953413188,18.90000153,4,86,10,1.730000019,5,85,10,1.700000048,75,0.05,6.409710655,648.202002,251,0,Chalk,loamy sand,loamy sand
902,1948,89.45890045,Neylands Farm,538051,134071,-2215.382312,-30.10143271,0.239763424,0.200693947,32.0873358,1.546543339,-1101.2867,-20.931324,0.38680378,0.444724477,22.908216,1.7993307,-0.147040356,Others,52,2.392606791,1.404207593,283.9416738,8.550876397,0.006877304,3.437189837,100437.476,321.044834,120.0170915,89.45890045,5.778010845,20.40000153,9,77,14,1.600000024,17,67,16,1.480000019,50,0.00014,5.885854623,351.4578196,251,0,Corallian Limestone,sandy loam,sandy loam
912,2860,58.79610443,Upper Fudges,380005,265485,-136.822043,-0.138636137,0.925619511,0.901683332,2.127182622,1.14289553,-1.7758031,0.35971844,0.7413215,0.725079042,0.85652864,0.43214312,0.184298011,Both Perform Well,56,1.946768891,1.462544857,283.7167809,7.772891658,0.006739398,3.731729863,100548.1851,324.0488923,120.4413041,58.79610443,3.206155777,16.5,20,42,38,1.409999967,20,45,35,1.419999957,33,0.01,3.321172543,136.8836442,251,0,Triassic Sandstone,loam,loam
948,537,101.6409454,Charing 6,591385,150264,-2989.826391,-13.452378,0.535461449,0.555818155,1.949752421,15.4136534,-3705.996,-1.8106325,0.8926878,0.883043796,2.0978482,3.5851347,-0.357226351,LSTM outperform,55,1.866100768,1.457672277,283.8888736,7.604655088,0.006888489,3.654372662,100122.7094,320.5489176,124.2745859,101.6409454,4.237512112,20,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,14.49433324,96.80684047,1001,893.15625,Lower Greensand,loam,clay loam
1016,1520,90.3324585,King Georges Field Hythe,561803,157429,-53.17262764,-5.367829019,0.102471818,0.126813608,0.977952347,7.304221084,-1722.0774,-0.0524261,0.38695055,0.349772046,0.20319375,1.3112429,-0.284478732,Others,1826,1.888882801,1.457470172,283.9198881,8.545290384,0.006837161,3.546519193,100367.3653,320.928849,123.0214514,90.3324585,3.873465061,8.900001526,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,10.44748075,276.6410566,251,40507.78516,Lower Greensand,loam,clay loam
1092,2363,67.65250397,Russells Farm,462355,114355,-5.427116731,0.225458242,0.855200188,0.850926672,0.719699694,0.292624791,-1.2989829,0.50811213,0.9082964,0.902636917,1.163686,0.5453014,-0.053096212,Both Perform Well,60,2.411500552,1.453523377,284.0828612,6.406078896,0.006914796,3.434772697,100648.3962,322.2768363,123.8455739,67.65250397,0.633584857,29.20000458,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,40.68281264,129.6632918,101,0,Chalk,loam,clay loam
1116,1352,128.5601501,Hodcott 2,448265,182115,0.12290115,0.301627088,0.58895439,0.583039087,1.077232946,0.440713577,-54.795662,-0.33866,0.61388934,0.624867488,2.2756453,0.874865,-0.02493495,Others,1790,1.928587077,1.508349053,283.484928,7.847316624,0.006667576,4.278270928,99721.26153,321.0259069,122.5679767,128.5601501,9.193787575,5,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,24.66242409,85.62966978,51,0,Chalk,loam,loam
1120,1762,175.2158508,Maharajas Well,467865,184125,-78.31357774,-0.462378619,0.732580921,0.740527175,1.055832156,2.436635317,-2173.2422,-2.8881664,0.23447043,0.174792626,0.70276695,4.8004622,0.498110491,Others,60,1.97918948,1.494719108,283.3155686,7.847316624,0.006605555,4.249807232,99381.40904,319.9113446,121.4797577,175.2158508,1.004248977,36,24,48,28,1.399999976,34,41,25,1.330000043,520,0.005,6.567861314,136.8136205,251,0,Chalk,sandy clay loam,clay loam
1121,2500,120.8214111,Skillington,490105,327025,-438.1771041,-3.194301933,0.479015908,0.491070939,1.730932121,5.09713101,-164.78104,-0.09024465,0.2955066,0.354967258,1.4568142,1.6954466,0.183509308,Others,50,1.860021908,1.48176485,283.1015493,8.170701117,0.006472129,4.434378126,99901.16379,319.867742,118.1588517,120.8214111,1.687005043,7,48,23,29,1.25,45,26,29,1.25999999,130,0.0005,12.77346886,48.53513458,751,0,Oolites,clay,clay
1127,2853,22.50034332,Upgate Common,614960,318020,-137.8074559,-8.000291231,0.232445677,0.316567027,9.960118607,1.363836708,-5.891622,-1.0418084,0.51112765,0.550461214,2.9009252,0.43742776,-0.278681973,Others,54,1.833954,1.524362692,283.7946855,7.324315532,0.006742174,4.6041263,101112.0179,320.881002,121.3421254,22.50034332,3.509184361,6.600000381,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,86.31138267,210.7575057,1001,0,Chalk,loam,clay loam
1137,2914,103.2318878,Warren Farm,451585,142555,-134.7318664,0.465726509,0.795639101,0.746905262,0.507751566,1.03709806,-20.883354,-0.36465096,0.9620899,0.949914557,0.8113175,2.3510141,-0.166450799,Both Perform Well,60,2.144578313,1.504809799,283.7981751,8.427272862,0.0067968,4.239339465,100222.1558,321.7425298,122.9882305,103.2318878,0.530748069,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,40.77424346,80.82547211,1,0,Chalk,loam,loam
1148,718,134.1864624,Crofton Farm Burbage,426272,162664,-6.069344147,-0.684842985,0.695399911,0.753422803,1.099519474,2.654089037,-721.31805,-3.1824622,0.43633682,0.513656734,2.6001368,4.8229446,0.259063091,Others,56,2.069989052,1.462645775,283.5670051,8.146276078,0.006724043,4.320162958,99803.27118,321.4690697,118.869378,134.1864624,2.322672129,7.199996948,19,37,44,1.409999967,0,0,0,0,550,0.015,28.55248564,37.85776454,51,21.31223869,Chalk,loam,
1163,2427,29.77820206,Sedgeford,571006,337418,-0.813800593,0.312701824,0.637488763,0.671806035,1.045191626,0.417829833,-338.66812,-0.048843145,0.43292692,0.519865596,0.23157647,0.5663822,0.204561843,Others,45,1.697590368,1.547305179,283.6381785,7.787020949,0.006670339,4.961812864,101016.8128,321.0253796,121.5975018,29.77820206,1.814736485,0.799999237,10,82,8,1.590000033,17,75,8,1.5,550,0.015,47.38454032,123.8243224,1001,0,Chalk,loamy sand,sandy loam
1172,878,56.79218292,Eggarton Manor,607856,150448,-5.782430907,0.271521316,0.79543739,0.793214296,0.786875916,0.334107023,-43.05926,0.11634493,0.60979974,0.630819136,0.436212,0.44256583,0.18563765,Both Perform Well,59,2.048849942,1.397401661,284.1926862,7.604655088,0.007009192,3.745461935,100710.5185,321.9514131,118.168885,56.79218292,3.96509099,12.20000076,19,37,44,1.409999967,0,0,0,0,550,0.015,23.97593657,109.3453851,1001,0,Chalk,loam,
1184,2631,94.75866699,Stitches Farm,555265,133204,-57.71698081,-10.17691003,0.314698851,0.419829706,-8.297493849,7.165248427,-203.3066,-39.221313,0.66487324,0.686048587,41.219795,0.8573226,-0.350174389,Others,57,2.384665937,1.35361867,283.8898683,8.545290384,0.006887331,3.471657953,100248.2565,320.6666146,116.146227,94.75866699,4.947782516,27.80000305,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,0.140267282,253.3048114,251,0,Corallian Limestone,loam,clay loam
1205,1651,74.10975647,Little Witley,378375,263555,-595.896677,-1.584375574,0.827057397,0.807693048,0.46082949,3.521583456,-97.15091,-0.8260765,-0.36556804,-0.286678233,1.2115613,2.1937478,1.192625437,DGW outperform,54,1.967196058,1.449836077,283.7303559,7.772891658,0.006745798,3.73672563,100561.321,324.1083135,119.3125517,74.10975647,1.855733633,24.69999695,20,42,38,1.409999967,20,45,35,1.419999957,33,0.01,2.954942012,80.04593518,251,0,Triassic Sandstone,loam,loam
1213,206,53.82492065,Bell Slack,510601,471998,-26.41560816,0.006640211,0.740642053,0.683226184,0.491560292,0.186989429,-0.87763524,0.3999685,0.45612115,0.391368544,1.0979574,0.7662526,0.284520903,Others,58,1.985815989,1.453148383,282.8519702,6.475027417,0.006481285,4.801826415,100218.1602,318.3489285,121.5908242,53.82492065,3.827138662,12.09999847,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,2.826764407,107.7101571,51,0,Chalk,loam,loam
1278,1712,89.89442444,Lower Beeding,523470,127695,-313.6044363,-13.3272494,0.449308346,0.418026279,6.149188611,14.35861785,-42.922485,-2.1040199,0.79150593,0.806915223,4.096673,0.95417374,-0.342197584,LSTM outperform,54,2.266922234,1.48190899,283.9512025,8.550876397,0.006883135,4.165065835,100451.0517,321.1236893,122.5395065,89.89442444,0.510534406,5.699996948,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,0.486447137,147.5683248,1,0,Corallian Limestone,loam,clay loam
1281,475,36.36389542,Careby,502675,315495,-41.07069406,0.119307773,0.753355024,0.759544829,0.2052848,0.7115337,-34.77821,-0.11983979,0.5696471,0.72390066,0.27125397,0.2666744,0.183707924,Both Perform Well,54,1.68044907,1.484838837,283.6770585,7.961938764,0.00663459,3.704363084,100976.3347,322.2920951,120.3740155,36.36389542,1.95681572,6.800001144,22,42,36,1.399999976,0,0,0,0,130,0.0005,5.853806088,71.84249205,101,0,Oolites,loam,
1283,1323,48.01959229,Highwood Lane,450673,84385,-1619.722309,-4.546050938,0.129365149,0.18561181,2.823956213,6.164674209,-1.7204483,0.33090466,0.63154286,0.606983657,1.0515444,1.5561244,-0.502177711,Others,51,2.318400876,1.450044714,284.2345835,6.406078896,0.007002057,4.184766015,100881.3354,322.3797764,119.7931858,48.01959229,4.367772579,17.5,5,90,5,1.710000038,8,87,5,1.629999995,300,0.03,61.54241329,196.2433767,251,0,Lower Greensand,sand,loamy sand
1288,2862,95.25094604,Upper Hill Farm,459155,116855,-4.216501623,0.627553306,0.750004709,0.792113605,0.98539083,0.724309111,-651.6181,-4.060363,0.9358451,0.934752409,0.83275026,6.0572095,-0.185840391,Both Perform Well,60,2.447754659,1.505698659,283.9862379,6.406078896,0.006883119,4.198103617,100458.8938,321.9170814,124.0356887,95.25094604,1.945623159,17.80000305,19,37,44,1.409999967,0,0,0,0,550,0.015,43.26127366,166.2842116,101,0,Chalk,loam,
1316,3129,203.2140198,Wivelrod,467605,138425,-84.17220747,-2.70363358,0.819861542,0.888994763,0.969178639,4.699121771,-6035.4775,-2.1371024,0.46148458,0.470737511,0.71369433,4.0772586,0.358376962,DGW outperform,51,2.498357066,1.431196834,283.3212277,8.427272862,0.006656841,4.205014341,99242.29843,319.1242066,118.1215037,203.2140198,0.598684549,33.19999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,34.88576776,270.5367473,501,0,Chalk,sandy clay loam,clay loam
1328,1915,148.647522,Nelson Arms Winterslow,423855,132955,-1.472440902,0.291036924,0.709342844,0.618299829,0.936929417,0.356440242,-143.08553,0.3519469,0.87780976,0.858944584,0.44406152,0.69020224,-0.168466916,Both Perform Well,58,2.230558597,1.437490572,283.6951092,8.146276078,0.00678956,4.307337063,99935.95579,321.5766908,117.3143516,148.647522,2.809558868,23.6000061,19,37,44,1.409999967,0,0,0,0,550,0.015,15.5432162,74.76979946,1,0,Chalk,loam,
1341,989,243.6651459,Fosse Farm,397025,210385,-18418.09078,-10.29058681,0.308232953,0.305743602,12.00130207,3.443391427,-67.13266,-3.0163198,0.33742824,0.353289615,1.5512615,4.922755,-0.029195287,Others,61,2.586801751,1.484328668,282.7817332,7.50607898,0.00648662,5.195121099,98385.06281,318.9102481,119.7348766,243.6651459,2.992846012,23.5,22,42,36,1.399999976,0,0,0,0,184,0.02,1.678697565,33.37152019,51,0,Oolites,loam,
