No,DECIPHeR-GW_No,elev,label,easting,northing,NSE_DGW,KGE_DGW,Pearson_r_DGW,Spearman_r_DGW,Mean_ratio_DGW,STD_ratio_DGW,NSE_LSTM_10,KGE_LSTM_10,Pearson_r_LSTM_10,Spearman_r_LSTM_10,Mean_ratio_LSTM_10,STD_ratio_LSTM_10,Pearson_diff,Pearson_calss,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
1345,1772,38.81912231,Manor Farm Broughton,430885,133395,-4961.705067,-59.73026409,0.774921471,0.778314781,-59.70227136,2.829909284,-148.35179,-9.509169,0.68858963,0.735210075,11.487152,1.605414,0.086331841,Both Perform Well,47,2.227601314,1.477095431,284.1719191,8.146276078,0.006926489,3.530401978,100901.2953,323.7050627,123.7866546,38.81912231,1.61992836,0,19,37,44,1.409999967,0,0,0,0,550,0.015,22.51909733,45.24184227,1,11145.44238,Chalk,loam,
1346,553,73.6625824,Cheriton,458945,127395,-150.4547653,-6.690038135,0.720985808,0.725394876,-6.632363999,1.897695597,-291.65207,-9.677674,0.81495774,0.76967012,11.65678,1.6417704,-0.093971932,Both Perform Well,44,2.468674702,1.419251677,283.9374278,8.427272862,0.006854007,3.455233726,100447.0489,321.9589514,120.1733385,73.6625824,4.116621017,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,42.61778968,85.32159528,1,0,Chalk,sandy clay loam,clay loam
1355,132,85.04135895,Bagnor Manor,444882,169724,-690.768048,-5.551295416,0.200111417,0.14389813,-5.138626854,3.144040633,-294.2332,-3.3005404,-0.16951329,-0.238522325,4.9972553,2.0718625,0.369624707,Others,1799,1.893483021,1.470126025,283.847753,8.427272862,0.006787736,3.521754678,100443.8588,322.6035254,122.7023114,85.04135895,4.692727089,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,29.70397619,427.0597198,51,0,Chalk,sandy clay loam,clay loam
1361,988,63.66067505,Forton Longparish,441855,143655,-27.31767073,0.755291102,0.861752914,0.967511547,0.800909672,1.033663466,-579.7514,-0.2829721,0.7853159,0.882694622,1.9049672,1.8837255,0.076437014,Both Perform Well,60,2.021358159,1.474530386,284.0825743,8.427272862,0.00688399,3.508529473,100803.961,323.2901883,123.5258458,63.66067505,0.945257425,12.70000076,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,36.06548122,192.8249192,1,19.00874901,Chalk,loam,clay loam
1377,957,219.9648895,Five Mile House,397812,209071,-13745.51343,-3.046171582,0.018936995,0.109816034,3.478648932,4.043898705,-362.38327,-5.1602907,-0.10945568,0.038226932,0.62684774,7.0480814,0.128392675,Others,61,2.464238776,1.469729264,282.8757479,7.50607898,0.006513683,4.435855198,98566.54768,319.3296787,121.6512503,219.9648895,3.632209301,51.80000305,22,42,36,1.399999976,0,0,0,0,184,0.02,2.86389235,33.8351016,51,0,Oolites,loam,
1386,1437,24.30730438,Hurstmere School,547246,173338,-439.7176143,-3.464809878,0.604428542,0.515868739,0.318193715,5.394677537,-1796.0786,-0.79911053,0.4439305,0.412320198,2.4139338,1.9635365,0.160498042,Others,50,1.600383347,1.455939155,284.2654206,8.545290384,0.006893579,3.541493023,101153.2139,322.8776972,119.3709887,24.30730438,2.700993538,0,10,82,8,1.590000033,17,75,8,1.5,100,0.005,6.761473924,3503.327754,1,67.25927734,Chalk,loamy sand,sandy loam
1437,601,25.7278595,Churton,341957,356451,-33.54279566,-0.166810341,0.534109526,0.502681302,0.831602825,2.056425497,-1.379982,0.35469627,0.63272166,0.618984052,0.96026826,0.47090283,-0.098612134,Others,51,1.729791892,1.40308878,283.6600631,6.877820409,0.006696642,3.755785749,101041.5716,324.4784058,115.4967803,25.7278595,3.919634581,16,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,1.108528517,83.78111193,1,0,Triassic Sandstone,loam,clay loam
1458,1148,104.9206848,Greys Court,472475,183405,-189.4109726,0.586848927,0.80044049,0.747573288,0.703525841,0.792700979,-5.59172,0.26821822,0.33047754,0.245215447,0.9529958,1.2916082,0.46996295,DGW outperform,57,1.894085435,1.533566762,283.7404122,8.154764635,0.006727853,4.243603833,100250.9754,321.8168501,123.4501529,104.9206848,3.021537542,29.69999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,3.607720418,258.7297093,251,0,Chalk,sandy clay loam,clay loam
1461,847,36.37960815,East Farm,587342,278990,-12.69201207,0.552525503,0.73415896,0.867794299,0.890294358,0.657178415,-66.19624,0.27155006,0.6970985,0.808430759,1.2447767,1.6156114,0.03706046,Others,46,1.714293539,1.509715356,283.9979954,8.134556528,0.006741229,4.128603714,101339.2914,321.8409107,119.2497667,36.37960815,2.490457535,26.60000229,8,76,16,1.610000014,8,76,16,1.150323987,550,0.015,63.39277536,207.6141273,5001,282.1756287,Chalk,sandy loam,sandy loam
1465,2573,84.11367035,Spring Cottage,548195,155345,-1022.338736,-23.76568152,0.662723546,0.706405659,2.267142929,25.73094366,-17.353056,-0.78388035,0.52985984,0.579869379,1.2291814,2.705503,0.132863706,Others,1823,2.113964943,1.43626209,283.9312743,8.545290384,0.006833629,3.502545777,100402.0838,321.1067441,120.8176875,84.11367035,1.761345148,0.699996948,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,9.430721288,279.5529186,1,17611.11133,Lower Greensand,sandy loam,sandy loam
1501,171,56.59757996,Bartondale,505012,466985,-9.428937908,0.150476681,0.869550549,0.824909774,0.687142416,0.221030846,-0.15350103,0.64053816,0.872785,0.805242625,0.9156157,1.3254362,-0.003234451,Both Perform Well,59,2.092935369,1.474497442,282.7461666,6.475027417,0.006436251,4.742489583,99949.22923,317.9373928,123.4618734,56.59757996,3.192923784,2.200000763,19,37,44,1.409999967,0,0,0,0,550,0.015,6.863826436,35.30463929,51,0,Chalk,loam,
1559,1921,37.68784332,New Barton Farm,449255,128455,-83.1818973,-1.809902085,0.435779208,0.46407656,-1.593770096,0.078283497,0.36432552,0.31117886,0.8066715,0.825190735,1.0760922,0.34325954,-0.370892292,LSTM outperform,61,2.346495081,1.436137816,284.2172814,8.427272862,0.006937404,3.475700059,101019.3153,323.4645952,120.5751965,37.68784332,0.709595144,0,19,37,44,1.409999967,0,0,0,0,550,0.015,40.54547477,569.7507667,1,0,Chalk,loam,
1565,2317,39.99062347,Rockbourne Marsh Farm,412060,117120,-542.6505299,-8.154441383,0.904636499,0.916565879,-8.068968339,2.244393869,-56.572353,-2.0098746,0.86484224,0.875917438,3.9338977,1.6582997,0.039794259,Both Perform Well,53,2.393154431,1.484198443,284.1840513,7.617962865,0.006957113,3.576666442,100827.3794,323.7557515,125.1570627,39.99062347,1.54231143,0,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,12.73805174,77.76431989,51,0,Chalk,clay,clay
1608,876,123.2192535,Egbury,443955,152555,-52.39938457,0.140799735,0.707733918,0.660295396,0.445103685,0.412721776,-8.099735,0.68393934,0.89936143,0.892985306,1.227787,0.8053742,-0.191627512,Both Perform Well,62,2.128203726,1.452619278,283.6591705,8.427272862,0.006749147,3.510927794,99985.0093,321.4238321,122.970451,123.2192535,8.589391708,5.700004578,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,38.57992007,85.67096466,1,199.7364655,Chalk,silt loam,loam
1633,771,76.06423187,Darfield Farm Nether Wallop,431755,135155,-24.01730576,0.354523844,0.873609595,0.864828534,0.768902576,0.410713216,-57.805706,0.6188985,0.9215637,0.893174944,0.642912,0.8924169,-0.047954105,Both Perform Well,59,2.128587074,1.45159856,284.0100438,8.146276078,0.006876052,3.529196651,100580.9221,322.9627438,122.2558267,76.06423187,0.712786376,11.89999771,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,23.7391649,47.34218074,1,0,Chalk,loam,clay loam
1690,51,67.40322113,Alre Gardens,458525,132895,-530.5514426,-0.927760844,0.811043046,0.844569802,-0.306378048,2.404967451,-77.09876,-0.13215125,0.69686025,0.759047859,1.4951825,1.9719509,0.114182796,Both Perform Well,55,2.2898138,1.418848535,283.9938669,8.427272862,0.006864325,3.459979984,100578.7684,322.335957,119.4353576,67.40322113,3.742405415,3.100002289,19,37,44,1.409999967,0,0,0,0,550,0.015,43.26567455,87.47982643,1,90.63555908,Chalk,loam,
1719,449,72.59986877,Burwell west,535185,379535,-123.4279082,0.320303841,0.718107793,0.674336213,1.596408766,0.83623115,-519.9006,-0.58017707,0.4718827,0.448696041,2.219578,1.8548005,0.246225093,Others,60,1.996276009,1.508189273,283.2407982,6.437349428,0.00655937,4.796708693,100516.1053,319.9478316,121.4633747,72.59986877,6.448134422,11.60000229,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,3.552481927,22.51102936,751,220.9683838,Chalk,loam,loam
1783,807,45.25753784,Downton Church,418226,121962,-70.79450915,0.384350213,0.871214554,0.853564678,0.545141424,1.394388952,-15.729673,-0.6912445,0.60139513,0.625995832,1.1863501,2.6330075,0.269819424,DGW outperform,53,2.305969336,1.419485343,284.1593856,8.146276078,0.006940618,3.55794527,100831.9337,323.6233757,119.3818695,45.25753784,0.837823927,5.799999237,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,12.07723298,106.0939813,51,0,Chalk,loam,loam
1790,998,20.38333511,Fowlmere,540406,245699,-536.5548154,-3.228198179,0.761158372,0.816758054,-3.207526487,0.65745748,-780.9423,-5.816878,0.6289449,0.652196459,5.9929256,5.626368,0.132213472,Both Perform Well,49,1.417853228,1.483443777,284.0780396,8.084611253,0.006757014,3.699817919,101236.1241,322.8468567,118.5719448,20.38333511,0.943191409,1.900001526,10,82,8,1.590000033,17,75,8,1.5,550,0.015,48.04681483,149.7262845,5001,0,Chalk,loamy sand,sandy loam
1832,1320,140.0015259,Highmoor,470084,184289,-50.41634758,0.357164194,0.377710125,0.633690858,0.888853966,1.116789312,-604.841,-3.5952172,-0.17357847,-0.148844142,0.6236235,5.4268627,0.551288595,Others,59,2.001204821,1.524848953,283.5520225,8.154764635,0.006673431,4.247597588,99878.25301,320.9945246,123.5164794,140.0015259,1.280273199,13.6000061,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,5.245207607,134.5972932,251,0,Chalk,silt loam,loam
1841,3053,17.36073685,Whitwell Common,608471,320417,-188.6464046,-35.00703801,0.023075735,0.117516877,-34.9826295,0.104020156,-9.492158,-7.2031155,0.5243775,0.670201558,9.181672,0.6437468,-0.501301765,Others,56,1.880668124,1.54548363,283.791421,7.324315532,0.006736504,4.54008472,101129.7244,320.9804441,123.7519982,17.36073685,1.826531529,3.100000381,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,80.3206895,60.26367284,1001,0,Chalk,loam,clay loam
1846,2240,105.4027557,Radley Crossroads,436720,169680,-54.33685666,0.317709196,0.845024303,0.865345867,0.350537417,0.859637513,-13.677868,0.44936,0.89163244,0.852827174,1.3296841,1.4275169,-0.046608137,Both Perform Well,58,1.86467689,1.461312441,283.6387501,8.427272862,0.006731848,3.541325023,100023.7039,321.7542514,122.8733392,105.4027557,5.0989604,4,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,36.44723537,92.0422958,51,0,Chalk,sandy clay loam,clay loam
1872,1470,112.5752563,Jane Austens House,470825,137595,-28.2755641,-0.568866502,0.756596411,0.705830876,-0.410866824,0.358477126,-23.124233,-0.2988993,0.9101969,0.88815427,2.2876608,1.1449314,-0.153600489,Both Perform Well,57,2.409419495,1.509046086,283.7337197,8.449890581,0.006779409,4.199345262,100084.0597,321.0039701,123.9649516,112.5752563,1.243947744,3.900001526,19,37,44,1.409999967,0,0,0,0,550,0.015,32.08582271,318.1985187,501,0,Chalk,loam,
1876,2251,126.701828,Rare Breeds Farm,421102,142370,-19.345648,0.353134788,0.84397665,0.836320384,0.816299537,0.399712189,-72.38376,0.6373211,0.9547221,0.95357323,0.6471317,1.0704976,-0.11074545,Both Perform Well,53,2.080175248,1.459549786,283.7827234,8.146276078,0.006808612,3.565722897,100148.804,322.2114861,123.3485524,126.701828,1.995380044,27.29999542,19,37,44,1.409999967,0,0,0,0,550,0.015,17.92170586,163.6386504,51,0,Chalk,loam,
1902,2408,32.75593567,Saxby,498585,385795,-8.580183187,-0.729963598,0.207388486,0.213501292,2.379883067,0.321425199,-0.5748471,-0.08452296,0.55509937,0.535490718,0.6164895,0.08831307,-0.347710884,Others,58,1.787075573,1.490655489,283.4023732,7.722836944,0.006570865,4.563292961,100985.3829,321.2821345,118.6826794,32.75593567,1.897475481,4.899999619,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,10.40176301,52.99518779,1001,0,Oolites,clay,clay
1924,2482,37.09844208,Shottesbrooke Park,484125,177305,-8.43140759,-0.07326331,0.716901766,0.77416574,0.30358566,0.233999616,-1.7395244,0.44479638,0.76092017,0.773616859,1.3583018,0.6496979,-0.044018404,Both Perform Well,61,1.662102958,1.456643937,284.1613596,8.449890581,0.006852315,3.473165737,101113.5737,323.5003442,119.7715371,37.09844208,0.138265237,6.299999237,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,9.922601804,531.2494858,251,0,Chalk,loam,clay loam
1931,2687,83.71517181,Sutton Scotney,445705,139405,-15.42198312,0.591543348,0.843608849,0.832455716,0.836374642,0.659992079,-3.832065,0.692817,0.7849742,0.763126087,1.0860052,0.79818773,0.058634649,Both Perform Well,60,2.148959469,1.423588196,283.9974527,8.427272862,0.00686127,3.495117653,100614.6717,322.7324514,119.6145567,83.71517181,1.161425948,21.19999695,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,38.31026729,75.46708829,1,0,Chalk,loam,clay loam
1936,2701,96.34292603,Swarraton,456955,137055,-390.49939,0.17897812,0.836010183,0.833119,0.723357288,1.755415831,-738.0509,-1.3404768,0.4551871,0.513497338,1.3784374,3.2445142,0.380823083,DGW outperform,59,2.21456736,1.4869098,283.8539233,8.427272862,0.006817356,3.468686793,100314.3309,321.8143846,125.9482034,96.34292603,5.602194786,22.59999847,19,37,44,1.409999967,0,0,0,0,550,0.015,43.02612793,79.66336867,1,0,Chalk,loam,
1965,361,95.02534485,Bridge Cottage,427455,143755,-7.545222067,0.202491635,0.799960354,0.789832722,0.536888722,0.382317496,-22.049442,-0.034104943,0.6077254,0.688136489,0.22576037,0.43781987,0.192234954,Both Perform Well,60,2.146604599,1.445196121,283.8727258,8.146276078,0.00683021,3.547735084,100335.3215,322.5493558,121.6571135,95.02534485,2.479885817,2.099998474,19,37,44,1.409999967,0,0,0,0,550,0.015,23.59392854,121.0873187,1,0,Chalk,loam,
1975,2322,29.79055023,Rodbridge Corner,585718,243969,-123.5501467,nan,nan,nan,0.033762306,0,0.45708156,0.6876164,0.771967,0.731401167,0.9676416,0.7889632,#VALUE!,LSTM outperform,49,1.487732747,1.530331484,284.065176,8.134556528,0.006761437,3.967031584,101181.4109,321.8619804,121.8593299,29.79055023,2.342398643,2,11,80,9,1.570000052,19,72,9,1.480000019,550,0.015,70.15428719,286.1306258,1001,0,Chalk,sandy loam,sandy loam
1986,3185,89.116745,Wyndhams Lodge Corham,458655,120655,0.091755478,0.186829991,0.778702986,0.743322228,1.070057575,0.220663724,0.44470483,0.58862877,0.8892857,0.891769073,0.91935265,0.6121024,-0.110582714,Both Perform Well,59,2.456845554,1.479243733,283.9629249,6.406078896,0.006870765,4.204012849,100424.0537,321.9184419,121.3347298,89.116745,3.401431799,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,43.23191497,149.49534,101,9.214373589,Chalk,loam,loam
2058,1233,100.4237518,Hatherden Cottage,434419,150392,-23.51408106,-0.726690035,0.381645374,0.29058621,-0.330708921,0.089884732,-0.41499186,0.19486266,0.43569207,0.354916044,1.2129751,0.4666669,-0.054046696,Others,775,2.052081051,1.508326983,283.7782445,8.146276078,0.006791343,4.288379132,100174.1725,322.1110334,122.8895044,100.4237518,1.640674353,4,19,37,44,1.409999967,0,0,0,0,550,0.015,33.17425263,386.6392923,1,131.5416718,Chalk,loam,
2060,1937,76.52226257,Newgate,607760,144780,-2946.859419,-66.89879519,0.761463251,0.712621954,68.63884357,6.930963609,-5283.8623,-89.93808,0.81225955,0.815458734,91.59696,8.871443,-0.050796299,Both Perform Well,58,2.047316542,1.395787991,284.114662,7.604655088,0.00701062,3.722405824,100541.0619,321.6252881,119.4798489,76.52226257,3.336275578,6,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,20.05103772,163.4722684,1001,0,Lower Greensand,sandy clay loam,clay loam
2104,712,41.96105957,Creeton,501115,319985,-3.494204686,nan,nan,nan,0.494045455,1.32E-15,0.25589585,0.21810484,0.6396982,0.706444946,0.9435221,0.30836973,#VALUE!,Others,52,1.742771084,1.475911092,283.5490481,8.170701117,0.006598594,3.705757179,100746.4382,321.7507637,120.1625716,41.96105957,0.95740509,0.799999237,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,2.120678469,57.19528579,101,0,Oolites,clay,clay
2127,746,83.95765686,Cullpeppers Dish,381460,92494,-47.74096844,-1.980518265,0.865752065,0.875035772,0.944351325,3.97697327,-621.1676,-1.3548877,0.7984383,0.802005519,0.7784123,3.335766,0.067313765,Both Perform Well,54,2.624863087,1.545954967,284.1686542,7.90585989,0.006996279,4.412318526,100680.6511,323.670201,128.310117,83.95765686,0.604294062,37.70000076,21,39,40,1.399999976,21,41,38,1.399999976,75,0.05,8.503461035,65.66658481,101,0,Corallian Limestone,loam,loam
2172,204,28.00703049,Beetley,598140,317310,-9.758184789,nan,nan,nan,4.66986097,5.37E-15,-1.8146884,-0.82903373,0.43497995,0.469857867,2.6619537,0.48613816,#VALUE!,Others,57,1.832475356,1.539394608,283.7450398,7.787020949,0.006707567,4.409223731,101022.1585,320.8760358,123.4485432,28.00703049,1.895769119,4.5,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,69.59634245,166.6382102,1001,0,Chalk,loam,clay loam
2175,1526,74.68289185,Kingsley 1,478014,137240,-23.02501535,0.119450504,0.202064051,0.186593194,0.758241536,0.716771328,-145.4919,-0.7488692,0.77197254,0.728148168,1.6047099,2.6250854,-0.569908489,LSTM outperform,1629,2.193975904,1.451323254,284.0168139,8.449890581,0.006862662,3.434321245,100653.9322,322.2282128,122.4068473,74.68289185,5.889430523,5.400001526,49,19,32,1.24000001,51,18,31,1.230000019,270,0.0006,25.15862054,274.7677072,501,43518.94531,Lower Greensand,clay,clay
2177,1124,31.92757797,Great Snarehill,589009,280979,-24.25365788,0.638375484,0.940639444,0.893532359,0.894245769,0.659317366,-860.14014,0.33264577,0.76947534,0.700772589,0.3802434,1.0901235,0.171164104,Both Perform Well,41,1.689375683,1.505805991,283.8899713,8.134556528,0.006711672,4.146216987,101135.8979,321.3301794,119.4198638,31.92757797,3.559773922,11.20000076,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,64.13809537,255.3746893,5001,0,Chalk,sand,loamy sand
2183,3059,179.1873474,Whyr Farm,408365,174325,-0.836694627,0.227708466,0.543188121,0.550748698,1.339563387,0.478028902,0.34618175,0.4708014,0.855168,0.843426974,1.1668448,0.5191283,-0.311979879,LSTM outperform,55,2.076451259,1.478996827,283.3140724,8.146276078,0.006655436,4.386020919,99352.96447,320.7694104,121.5535374,179.1873474,1.491859317,7,19,37,44,1.409999967,0,0,0,0,550,0.015,14.08685632,73.29502475,51,0,Chalk,loam,
2234,652,134.0570984,College Farm Cirencester,400285,201265,-50.66697688,0.040558006,0.567150752,0.604650019,0.354043173,0.437941065,-2.422293,0.41537863,0.6118029,0.642146786,1.1512918,0.58988327,-0.044652148,Others,1826,2.175848851,1.496121873,283.5188929,7.806790904,0.006703844,4.423826641,99837.84726,322.2347073,121.3174086,134.0570984,0.689033866,19.40000153,19,37,44,1.409999967,31,31,38,1.330000043,184,0.02,7.150995304,294.5704148,251,0,Oolites,loam,clay loam
2284,2527,143.728653,Soames Place Ropley,465555,130655,-33.25889879,0.247078751,0.802002379,0.730925257,0.73201275,0.324818407,-117.48312,0.469509,0.9250144,0.881856071,0.4977361,1.1533914,-0.123012021,Both Perform Well,60,2.621796278,1.432189469,283.4916235,8.427272862,0.006717606,4.200508524,99556.68169,319.7971361,117.9300448,143.728653,4.102758408,8.5,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,36.07027254,102.9461982,1,1699.570435,Chalk,loam,loam
2300,2718,35.60946274,Tarvin,348280,366850,-60.62137774,-0.117893397,0.885500778,0.872160357,2.065458555,1.318392277,-169.44148,-0.8896296,0.77783126,0.744396125,2.7749631,0.39102685,0.107669518,Both Perform Well,1714,1.916155535,1.394756144,283.5474302,6.877820409,0.006649619,3.711331035,100900.7421,323.9310479,114.8706444,35.60946274,1.872715831,19.80000114,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,2.255444004,231.8176433,101,0,Triassic Sandstone,loam,clay loam
2327,1234,49.60979462,Hatt Hall Farm,431855,126755,-157.6624187,0.091609561,0.90387648,0.918439404,0.756973116,1.869983558,-121.700424,-0.74451387,0.8410442,0.881803746,1.2110913,2.7243903,0.06283228,Both Perform Well,59,2.259857612,1.485502234,284.2560465,8.146276078,0.006958067,3.521205256,101045.9218,323.9300123,124.7922783,49.60979462,1.532946587,26.99999809,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,23.28631383,70.33246806,1,0,Chalk,loam,clay loam
2331,1327,152.1942902,Hill Farm Lewknor,472225,196855,-265.4618527,0.08453922,0.538529584,0.565769081,1.676953487,1.408469669,-155.45648,-0.8292742,0.8870584,0.874563873,0.48601234,2.7519453,-0.348528816,LSTM outperform,44,1.865717414,1.368938598,283.1635895,8.154764635,0.006548401,4.256975363,99160.26324,319.277305,109.2897403,152.1942902,2.413280964,0,19,37,44,1.409999967,0,0,0,0,550,0.015,8.661074254,118.6087121,51,0,Chalk,loam,
2361,2657,102.0282822,Stretton,494505,316085,-367.0677924,-4.636871624,0.50011624,0.488445957,6.587091143,0.444256818,0.41550654,0.360883,0.864753,0.878384729,0.90809506,0.38215533,-0.36463676,LSTM outperform,57,1.793921136,1.49690413,283.2548119,8.170701117,0.006515233,4.433840974,100117.0097,320.4475562,118.6404434,102.0282822,4.533793449,0,53,25,22,1.24000001,56,23,21,1.220000029,130,0.0005,9.667932366,58.79756787,101,0,Oolites,clay,clay
2363,1404,160.4451904,Horns Hill Lodge,545070,152140,-11183.75902,-36.00033104,0.819310732,0.886363724,37.08886029,9.160025201,-2077.8613,-14.614496,0.4265392,0.489613009,16.603622,0.89584446,0.392771532,DGW outperform,1826,2.176506018,1.416369759,283.5253927,8.545290384,0.006717533,4.241686261,99578.42749,319.2012412,115.39115,160.4451904,4.376672745,25.6000061,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,7.012190521,199.4691021,1,0,Lower Greensand,sandy loam,sandy loam
2385,2049,196.6882324,Old Hospital,411780,215820,-3732.258685,-4.34805915,0.263315862,0.30473528,4.706141968,4.784645937,-26580.053,-11.801422,0.64957345,0.73082913,10.90425,9.103072,-0.386257588,Others,58,2.159036147,1.47795143,283.0899206,7.806790904,0.006558513,4.388949009,99060.39781,320.2158774,120.8367193,196.6882324,0.66536957,28.69999695,22,42,36,1.399999976,0,0,0,0,184,0.02,2.163863786,34.00203082,51,0,Oolites,loam,
2398,1478,67.2256546,Joscas School,443935,196885,-271.8410494,-4.439234459,0.119141812,0.05714194,0.659992464,6.356655228,-17963.604,-11.227871,0.20081902,0.175581932,3.972471,12.834204,-0.081677208,Others,57,1.530284777,1.45788724,283.9675184,7.847316624,0.006800165,3.542549942,100773.1608,323.6117632,119.9516187,67.2256546,1.236096859,9.400005341,19,37,44,1.409999967,31,31,38,1.330000043,700,0.0005,13.88056598,253.2521728,51,131.6147308,Corallian Limestone,loam,clay loam
2439,824,87.85719299,Duckington Grange,348702,351874,-134.2770551,-0.505312364,0.077534273,0.154219299,0.776938247,2.16844587,-24.032478,-0.29529738,-0.28746212,-0.307326566,0.90785885,1.1083847,0.364996393,Others,50,1.848466591,1.426593263,283.3456796,6.877820409,0.006603818,4.494772809,100371.1365,322.9361614,114.4845476,87.85719299,3.542562485,15.5,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,1.190339373,70.06829293,1,0,Permian Sandstone,sand,sand
2447,1025,132.3821716,Frost Hill Overton,451475,152505,-78.79368777,0.583420912,0.791745405,0.769573649,0.700736161,0.798482469,-41.82641,-0.06262374,0.85764533,0.859351785,0.78449285,2.0307589,-0.065899925,Both Perform Well,62,2.063307773,1.498327787,283.5965496,8.427272862,0.00672675,4.248055051,99856.70556,320.9836468,122.7057822,132.3821716,4.903529167,13.50000763,19,37,44,1.409999967,0,0,0,0,550,0.015,33.04370666,99.47861551,1,0,Chalk,loam,
2449,139,76.08072662,Balls Cottage,439655,144355,-143.1809024,0.442563124,0.919957179,0.941898578,0.637699241,1.416013435,-588.2223,0.1182943,0.7397374,0.706785433,0.26686808,0.5850481,0.180219779,Both Perform Well,58,2.0347207,1.488257876,283.9090361,8.427272862,0.006832837,3.51454973,100456.572,322.5242802,125.356601,76.08072662,6.074844837,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,34.35400958,528.5146411,1,49.49323654,Chalk,sandy clay loam,clay loam
2474,1902,41.40130234,Mustard Pot Hall,614729,275194,-14.72984359,0.037174234,0.920219387,0.931417944,0.832468252,1.944775965,-109.55338,0.5031271,0.8240278,0.863348839,0.5385382,0.9455097,0.096191587,Both Perform Well,26,1.591621028,1.601063402,283.90575,7.481927803,0.006730906,5.137959659,101060.65,320.8477163,122.5097569,41.40130234,0.732029974,10.40000153,19,37,44,1.409999967,31,31,38,1.330000043,400,0.075,90.24476819,78.5879949,1001,0,Crag,loam,clay loam
2521,309,68.67167664,Boughton Lees,602363,147261,-754.0207504,-5.932462811,0.866306262,0.861623001,7.748009277,2.582888941,-2917.9424,-12.322986,0.7293893,0.713886987,14.292292,1.8624612,0.136916962,Both Perform Well,59,1.915553122,1.4711522,284.1120909,7.604655088,0.006986828,3.704051459,100549.3796,321.592273,125.3699993,68.67167664,3.543687344,19.5,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,17.91783107,434.283918,1001,0,Chalk,sandy loam,sandy loam
2522,1399,93.21994019,Hopton,359315,326625,-493.1579507,nan,nan,nan,-0.017340171,1.28E-14,-1.3438978,-0.5253483,-0.43517268,-0.509054033,0.9620265,0.4847096,#VALUE!,Others,1625,1.959145675,1.471550352,283.3421658,7.561281574,0.006609825,4.496150464,100180.8188,322.7639068,118.6174406,93.21994019,2.766451597,7.700004578,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,0.402299116,61.12887246,1001,364.6697693,Triassic Sandstone,sand,sand
2542,353,47.17560196,Brewery Cottages,464515,169575,-105.887721,-0.173954451,0.630400472,0.710301458,-0.107670524,1.120959712,-5.0467896,0.13785982,0.2410295,0.240720487,1.2117491,1.349876,0.389370972,Others,56,1.795071194,1.433072579,284.046838,8.427272862,0.006835122,3.484029347,100838.5056,323.1887367,118.4414861,47.17560196,1.569186568,2.400001526,11,80,9,1.570000052,19,72,9,1.480000019,100,0.005,11.91271902,614.6612939,51,0,Chalk,sandy loam,sandy loam
2570,160,145.8517456,Barnsley Park,408210,206030,-3.044872683,-0.029198696,0.528428371,0.521183196,0.565550048,0.194938889,-0.36738503,0.34511513,0.7982244,0.802268701,1.2248644,0.4189692,-0.269796029,LSTM outperform,61,2.13789704,1.493000909,283.4693304,7.806790904,0.006677936,4.396951652,99768.23287,321.9472607,120.7608915,145.8517456,0.843259215,13.8999939,19,37,44,1.409999967,31,31,38,1.330000043,184,0.02,0.220453616,49.3459804,51,0,Oolites,loam,clay loam
