No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
460,Annual,564223,251597,52.138255,0.398251,-4.9122086,0.53102255,0.75254273,0.711481303,0.98575306,1.3981277,-4.1681194,0.6403441,0.77749753,0.823724652,0.9876731,1.2823045,1.672782038,1.528473676,283.5351997,8.084611253,0.006600953,4.601366865,100144.4449,319.834925,119.0973029,115.5661316,0.730939806,9.5,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,60.2206241,76.44172174,1001,0,Chalk,clay,clay
467,Annual,416534,171759,51.444578,-1.76348,0.9343475,0.9352013,0.96735835,0.967471067,1.0112635,0.9451684,0.91244054,0.8700447,0.9710593,0.974862455,1.0455978,0.88179845,2.138225625,1.434479638,283.4035446,8.146276078,0.006676858,3.601612738,99518.24663,321.0155571,121.3771363,146.2315216,3.235126019,6.800003052,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,20.72758718,155.8186848,51,0,Chalk,loam,clay loam
473,Decadal,439486,472957,54.15091,-1.39693,0.70989716,0.86677516,0.87025595,0.868581552,1.0185367,1.023914,0.2217521,0.6693598,0.9038141,0.86974663,1.059697,1.3106614,1.884501647,1.447041697,283.1381308,7.298685801,0.006456575,4.353237006,100958.6183,320.6425709,116.6193653,23.68450737,1.391286016,6,10,82,8,1.590000033,17,75,8,1.5,33,0.01,1.092191798,61.90922163,251,0,Triassic Sandstone,loamy sand,sandy loam
476,Multiannual,497340,188104,51.583392,-0.596496,0.91105354,0.9024969,0.9554796,0.953053974,1.0005358,0.9132565,0.4431951,0.72165173,0.79030097,0.737189713,0.9873646,0.81739616,1.805147866,1.442163143,283.8495749,8.154764635,0.006745723,3.487182316,100475.6412,321.947351,119.0051492,85.54277039,0.514302075,0,22,42,36,1.399999976,25,41,34,1.379999995,520,0.005,25.86123708,543.8728815,101,1918.977539,Chalk,loam,loam
479,Annual,553847,248319,52.111791,0.245284,0.85964715,0.9018619,0.95331764,0.956880499,1.0549967,0.9334632,0.9325776,0.89926594,0.9697815,0.954859254,0.9892783,0.9045061,1.479682365,1.484212371,284.0032063,8.084611253,0.006734592,3.771878718,101087.7207,322.2523472,118.5273444,33.49882889,0.414654613,4,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,55.13639767,108.2565561,5001,0,Chalk,sandy loam,sandy loam
480,Annual,465785,117755,50.955476,-1.064766,0.8628678,0.87365526,0.9328406,0.93453605,1.0172906,0.8943893,0.8408061,0.8456094,0.94561625,0.928909821,1.0422701,0.86182594,2.571905803,1.457951367,283.9052582,6.406078896,0.006858025,3.432196867,100297.8626,321.4597283,124.8073807,102.8194199,5.609148026,13,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,36.57953766,147.6304416,101,0,Chalk,loam,clay loam
481,Annual,446427,441784,53.870182,-1.295414,0.8483056,0.86348563,0.924634,0.915738989,1.0024071,0.886201,0.80070245,0.77675754,0.9005735,0.739392331,0.9994472,0.80012244,1.940525736,1.443619288,283.1066905,7.170043959,0.006457407,4.378981707,100841.1617,320.5421773,116.4848479,54.3529892,0.504333079,29.90000153,22,42,36,1.399999976,25,41,34,1.379999995,260,0.01,0.526383154,193.1515843,501,0,Magnesian Limestone,loam,loam
490,Annual,463605,140495,51.160175,-1.091809,0.7584273,0.8752232,0.8889303,0.895819224,1.0043687,0.94331115,-0.58506525,0.93696386,0.942837,0.914489968,1.0232041,1.0129436,2.288389921,1.453058627,283.5385123,8.427272862,0.00671908,4.213703436,99687.44416,320.2609607,119.2179806,158.4697418,2.372224331,21.20001221,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,37.44265743,88.45793184,1,0,Chalk,loam,loam
494,Annual,567377,272459,52.324693,0.454611,0.8573226,0.9472076,0.94944215,0.919824442,1.013434,1.0071065,0.43528944,0.69889647,0.7184789,0.649112354,0.98643,0.8940537,1.424370208,1.510490167,284.064859,8.084611253,0.006750546,3.93949619,101388.7842,322.4862773,119.7326205,13.35249996,0.221325278,5.600000381,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,49.96676794,128.8474127,5001,3945.994873,Chalk,sand,loamy sand
498,Annual,328085,408245,53.565855,-3.087294,0.43123847,0.80035985,0.8613472,0.796470939,1.0182133,1.1424818,0.027776718,0.662855,0.762486,0.722211292,0.9812708,1.2385486,2.288444688,1.484524565,283.5589345,6.855202712,0.006641428,5.202722629,101060.7232,324.1948393,114.5799559,14.97536755,6.597689152,14.60000038,7,85,8,1.649999976,7,84,9,1.649999976,33,0.01,3.680077336,688.1714774,101,1094.307739,Triassic Sandstone,loamy sand,loamy sand
503,Decadal,546317,205512,51.72923,0.117229,0.000475764,0.65933275,0.6850487,0.592943471,1.0038321,0.8702131,-0.1886071,0.63355666,0.6886723,0.716295573,1.0025961,1.1932633,1.670700983,1.533590538,283.8213759,8.170865377,0.006715428,4.373671737,100453.0421,321.1055571,120.78557,88.97563934,0.945330322,6.400001526,49,19,32,1.24000001,51,18,31,1.230000019,100,0.005,22.75608531,1083.374575,1001,0,Chalk,clay,clay
504,Annual,428255,139755,51.156352,-1.597357,0.9371387,0.9271152,0.9687568,0.969473447,0.99775374,0.93419,0.8743683,0.9213843,0.9355595,0.915104277,0.9968839,0.9550766,2.114731654,1.455287528,283.9229035,8.146276078,0.006848163,3.541460303,100420.3055,322.6884692,122.5949639,91.68016815,1.052223563,11,19,37,44,1.409999967,0,0,0,0,550,0.015,22.10314239,88.38141192,1,0,Chalk,loam,
510,Multiannual,469875,403405,53.522665,-0.947509,0.7514915,0.79805,0.8703476,0.848787557,0.9858118,0.84581745,-1.1507821,0.22564477,0.39553922,0.13086635,0.97528964,1.4833738,1.713581599,1.487723877,283.5355374,7.297097527,0.006591525,4.448642866,101328.5986,322.3454779,117.5978005,1.85598433,0.500571251,0,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,1.632606395,188.862605,2501,0,Triassic Sandstone,sandy loam,sandy clay loam
514,Annual,397915,193005,51.635842,-2.031516,0.8681488,0.9102057,0.9318223,0.9451156,0.99731815,0.9416255,0.87777126,0.8407091,0.9540271,0.96088595,1.0624442,0.86085707,2.056955089,1.501721475,283.7409479,7.50607898,0.006777604,4.433287052,100209.7133,323.2264958,120.9363005,94.61988831,6.547657013,4.699996948,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,5.922877409,113.6664202,251,0,Oolites,clay,clay
