No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2561,Multiannual,361515,315975,52.740015,-2.571457,0.8543969,0.82339555,0.9370112,0.941603537,1.0226903,0.8365801,-0.45027947,0.7849254,0.87624454,0.887748884,1.1612885,0.9298043
2564,Annual,453855,151155,51.257019,-1.229624,0.93648255,0.9015553,0.9698209,0.970337462,0.9989336,0.9063018,0.9166043,0.90368044,0.96552825,0.959548837,1.0013984,1.0899297
2566,Annual,444394,464878,54.077906,-1.322974,0.72214824,0.72234714,0.854926,0.908477874,0.9965944,0.7632886,0.70831597,0.74576545,0.8624738,0.917605876,1.031553,0.7885162
2567,Annual,448650,142050,51.175621,-1.305439,0.9349717,0.90238434,0.9693378,0.971509398,1.0023185,0.9073548,0.9439368,0.9134121,0.97317696,0.970168525,0.9994675,0.917674
2572,Multiannual,617322,154311,51.246545,1.112489,0.80129933,0.81170213,0.9002334,0.911791864,0.998245,0.8403153,0.77639014,0.6540954,0.91838783,0.887316378,1.0011711,0.66386396
2577,Annual,409715,340005,52.957321,-1.856825,0.5252745,0.5666334,0.72823584,0.824821813,1.001386,0.662438,0.4961697,0.68404675,0.7181287,0.764186596,1.0004877,0.8572619
2580,Multiannual,566495,168737,51.39324,0.391738,0.64920294,0.685867,0.84884167,0.834428391,0.9968168,0.72464544,0.2561924,0.19016814,0.56984425,0.698594847,0.9992235,0.3138567
2595,Annual,424635,102875,50.824892,-1.651608,0.68928915,0.8479614,0.84861,0.82635925,1.0042251,1.013381,-0.39620638,0.5898733,0.7186815,0.738621404,1.0333048,1.29658
2603,Annual,405684,205445,51.747669,-1.919062,0.73992854,0.7382746,0.86492586,0.881126939,1.005151,0.77588284,0.79935074,0.76436925,0.9132083,0.90254544,1.0447248,0.78555053
2604,Multiannual,395495,320105,52.7785,-2.068218,0.880915,0.8933268,0.93895876,0.937162654,1.0003456,0.91251916,-0.015577078,0.4272998,0.7899195,0.776701733,0.99197227,1.5327194
2612,Annual,426165,166655,51.398325,-1.62528,0.8839082,0.8857353,0.9410322,0.933588046,1.0007659,0.90212995,0.8499931,0.79447484,0.9386287,0.952201925,0.99442536,0.8039316
2616,Multiannual,375575,297515,52.57489,-2.361838,0.61696875,0.80261153,0.8412473,0.841631008,1.0040885,1.1172355,-0.24446464,0.68163747,0.755551,0.707030875,1.0175015,1.2032145
2622,Annual,546635,103913,50.816205,0.08018,0.6060411,0.8472668,0.86903316,0.834750937,0.9958698,0.92152894,0.58154774,0.592709,0.77935475,0.753150411,1.0014638,0.65765715
2627,Annual,506055,345905,52.999965,-0.421127,0.5156271,0.63953406,0.7286655,0.802291842,1.0326736,0.7649592,0.49081695,0.5941585,0.72662723,0.74686852,1.0422553,0.70303684
2630,Multiannual,384785,267505,52.30544,-2.22456,0.84605634,0.8036836,0.92706704,0.939485345,1.0072925,0.817881,0.7443768,0.86916,0.88241404,0.884311689,1.0239631,0.9478631
2636,Annual,550027,248528,52.114717,0.189636,0.8401946,0.7787938,0.92718256,0.925036396,0.9928504,0.79124695,0.24148929,0.52362096,0.55936927,0.603702911,0.98798937,0.81934446
2642,Multiannual,529260,229430,51.948347,-0.120671,0.91785485,0.9181215,0.95857465,0.953820376,1.0010985,0.9293831,0.8479969,0.8213655,0.9308422,0.926584693,0.99325794,0.83543444
2643,Multiannual,430185,500446,54.39858,-1.536567,0.3501073,0.5726546,0.6231866,0.639039579,1.0159515,0.79905325,-12.534937,0.30890083,0.4308863,0.505322405,0.7092817,1.2630883
2649,Annual,521730,110030,50.876952,-0.271136,0.86750054,0.84124994,0.9376827,0.957820985,0.997377,0.85401654,0.8256339,0.7636361,0.9204422,0.934132751,0.9987854,0.7774312
2660,Multiannual,557260,249241,52.119114,0.295508,0.8356743,0.79983026,0.92800456,0.94136124,0.9943746,0.813311,0.72124636,0.6240385,0.88814497,0.821138447,0.99635124,0.6410823
2662,Annual,572421,301015,52.579599,0.543286,0.8241914,0.76190645,0.92425334,0.934618385,0.9681551,0.77653563,0.7786883,0.72944146,0.917025,0.921240265,0.9380553,0.7500413
2666,Annual,452525,380175,53.315898,-1.213038,0.8339054,0.81364864,0.9170573,0.91621484,1.0013771,0.83313084,0.7467723,0.8148724,0.8717002,0.717633656,0.97968715,0.86809593
2669,Multiannual,453525,174395,51.465997,-1.230862,0.76569813,0.7534976,0.8849683,0.888274807,1.0415978,0.7859907,-0.082502484,0.5178876,0.6551073,0.735066818,1.0497124,1.3331895
2673,Annual,448555,137755,51.137011,-1.307376,0.9172153,0.87146866,0.96156883,0.972010901,1.0018152,0.87736267,0.8380688,0.8637351,0.91574734,0.916118705,1.0001438,0.8929045
2676,Multiannual,430500,517401,54.550929,-1.529973,0.8189431,0.80268896,0.9089463,0.896094422,1.001165,0.8249591,0.32767594,0.59645617,0.6249222,0.508169847,1.0056549,0.8512317
2677,Multiannual,480425,138285,51.138193,-0.851819,0.7625097,0.80968755,0.87477976,0.842412265,0.99801946,0.8567023,-0.47723246,0.0927372,0.3547034,0.406762987,0.9653307,0.3631993
2679,Annual,405000,193150,51.637129,-1.929142,0.70566034,0.73325837,0.8431176,0.863094541,0.9864299,0.7847003,0.7152535,0.65490353,0.91117656,0.917893602,1.0802765,0.6763386
2680,Multiannual,568422,170672,51.410055,0.420327,0.78444433,0.7781117,0.8895697,0.866343709,0.99975497,0.80754447,0.22117591,0.19035023,0.5394696,0.591222898,1.0036592,0.3340941
2681,Annual,506921,466010,54.078907,-0.367225,0.90919816,0.85128045,0.95926696,0.956534457,1.0160517,0.8578712,0.7525116,0.75022125,0.87422603,0.872355348,0.96706873,0.7867262
2684,Annual,529025,240625,52.048998,-0.119878,0.85507333,0.8297407,0.92860895,0.930636765,1.0023649,0.8454498,0.67524415,0.72634596,0.8255423,0.803342897,0.9917,0.7893299
2690,Multiannual,507450,212720,51.802802,-0.443062,0.83787555,0.84904665,0.9315928,0.915578607,0.9928888,0.8656248,0.632998,0.92775315,0.93254614,0.921774206,0.9903661,0.975985
2697,Annual,405770,196920,51.671019,-1.917955,0.109594345,0.4626007,0.79299283,0.755081718,1.0083578,1.495872,-0.60713303,0.5705892,0.5754458,0.800327618,1.0588096,0.9737612
2716,Annual,398685,195735,51.660391,-2.020402,0.8933958,0.87037975,0.94753075,0.959928798,0.9984798,0.8814842,0.84227437,0.74773276,0.935691,0.951332509,0.9937998,0.7561465
2718,Multiannual,373125,226365,51.935132,-2.392301,0.6833699,0.75405157,0.8268069,0.841303285,1.0005559,0.82537514,0.29862958,0.8117588,0.8908541,0.802781616,1.0162257,0.8474952
2721,Multiannual,486785,190355,51.605349,-0.748237,0.97868866,0.9624843,0.9896401,0.98821157,0.9992609,0.963951,0.5761733,0.8456409,0.92374486,0.881719055,0.98185533,1.1329771
2723,Annual,419730,199220,51.691384,-1.715961,-0.23196268,0.18019909,0.8416227,0.846316322,0.98408884,1.8042161,0.31107152,0.500791,0.86161613,0.850464929,1.0337589,1.4784677
2724,Decadal,461405,349185,53.036416,-1.085703,0.8499842,0.8239298,0.9261338,0.878810667,1.0011815,0.8401791,-8.9109535,0.25234962,0.33833033,0.369913212,1.0377278,1.3460602
2726,Annual,453905,136405,51.124396,-1.231117,0.86772126,0.90439,0.9341748,0.948239807,0.99798,0.93068826,0.89810723,0.91363823,0.96172684,0.945021054,0.9965516,0.9226602
2731,Annual,460706,141856,51.172726,-1.133031,0.9508071,0.9282136,0.97611094,0.980870218,1.0021615,0.9323402,0.6280489,0.89586073,0.97005135,0.967465947,1.0992087,1.0102843
2734,Multiannual,397185,319125,52.769702,-2.043155,0.8424561,0.8446374,0.9240947,0.918350731,0.9976657,0.86446327,-0.44171023,0.5420623,0.5819013,0.488107968,0.9925213,1.1866697
2740,Annual,459195,135365,51.114524,-1.155707,0.95379174,0.9432437,0.977339,0.978881559,1.0037352,0.9480987,0.8620839,0.9234839,0.97826934,0.976054819,1.03324,0.93459743
2741,Multiannual,620737,158298,51.281031,1.1638,0.80460703,0.809728,0.9028028,0.883378351,0.9980998,0.8364396,0.5949925,0.7040755,0.83715904,0.773325235,0.99472934,0.75296694
2742,Annual,468036,474647,54.163115,-0.959492,0.67808974,0.7085775,0.83801836,0.851944898,0.9935995,0.75782675,0.69495106,0.6752789,0.8439359,0.841554784,0.9986388,0.71524435
2743,Annual,412015,378805,53.306044,-1.821148,0.8023092,0.8524116,0.8959745,0.925082377,0.9968274,0.89535415,0.6086713,0.8579712,0.88009244,0.885199661,1.044606,1.0616838
2744,Multiannual,452937,176325,51.483404,-1.239038,0.87921184,0.8455337,0.9416718,0.925797828,0.99054664,0.8572834,0.5385448,0.77293557,0.77371746,0.756795475,1.0040466,1.018389
2748,Multiannual,350605,322305,52.796025,-2.733996,0.8405086,0.8553359,0.9192068,0.901558293,1.0017314,0.88001364,0.09800458,0.35766822,0.42904505,0.344399773,0.9979505,0.7057295
2749,Annual,597273,290738,52.478891,0.903493,0.7235419,0.6163844,0.8851798,0.932771402,1.08052,0.64293736,0.5928226,0.5331849,0.79077756,0.843719471,1.3644186,0.7966686
2753,Annual,624592,299162,52.543948,1.310773,0.43931442,0.70054775,0.7879393,0.81320831,1.0025767,1.2114232,0.22735208,0.7310643,0.7917783,0.834118718,0.9721706,1.1679255
