No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
933,Annual,393077,187787,TRUE,-991.5325,-9.682386,0.7823018,0.7461968,10.14281,6.520438,1.956762211,0.577642309
947,Annual,591390,150250,TRUE,-56.076275,-4.3661604,0.47612885,0.49774683,0.9297204,6.3400865,19.90448989,0.298806284
948,Annual,591385,150264,TRUE,-444.57474,-6.0316424,-0.005878296,-0.055348091,1.3524405,7.9504175,19.96767267,0.360409134
951,Decadal,459562,421081,TRUE,-67.00653,0.007614553,0.27050442,0.265075071,0.32756114,0.97784024,9.645599598,0.794899391
954,Annual,504355,366275,FALSE,-0.8357084,0.26584584,0.554114,0.57761723,1.1441207,0.43484777,12.06624654,1.636975149
976,Annual,630528,160933,TRUE,-27.45084,-0.27930057,0.8965125,0.874106525,2.050937,1.7221098,1.571917365,0.314604306
983,Multiannual,615641,156674,TRUE,-1418.8259,-1.5543835,0.5243125,0.547662924,0.17143725,3.3689897,23.29696991,0.513877957
999,Multiannual,529955,398605,FALSE,-4.2828937,0.33036715,0.4680639,0.408827404,1.3531626,0.7981881,4.967610983,0.837031793
1000,Annual,427288,129080,TRUE,-9.361666,0.38508713,0.8887731,0.897963579,0.6480683,0.5081766,21.30998311,2.370802562
1004,Annual,450165,166985,TRUE,-232.94397,-2.730307,0.6991385,0.724222574,4.498399,2.2593355,1.197005077,0.275524783
1006,Multiannual,543076,179844,FALSE,-14.784276,-1.7030497,-0.17452897,-0.186493995,3.3978732,0.5790752,1.032347652,0.65583301
1016,Annual,561803,157429,TRUE,-643.9167,-2.640914,-0.10298328,-0.141560305,0.5205197,4.436544,31.02618447,0.595859192
1028,Decadal,621465,160512,TRUE,-77.403244,-0.06953859,0.7345542,0.691590691,0.14934364,0.40853226,5.115077501,0.493190441
1041,Annual,502455,349805,TRUE,-13322.054,-13.639132,0.29259053,0.26893332,0.5005909,15.613623,28.9743057,0.126485996
1045,Multiannual,306798,93736,TRUE,-1336.4757,-6.084729,0.07156131,0.074229196,2.1423347,7.9301295,14.87392815,0.475894864
1062,Annual,566590,118030,FALSE,-1489.4346,-24.200949,0.17461328,0.13478499,26.127697,2.7337797,1.782758571,1.163287354
1064,Annual,627710,143150,TRUE,-2.4502327,0.61952543,0.7273412,0.722268323,0.76382506,0.8790069,11.66378946,1.602148019
1074,Annual,618955,143886,TRUE,-31.61562,0.038070858,0.8579006,0.856399766,0.39055464,0.26945782,90.0818323,9.704221692
1089,Annual,453405,186005,TRUE,-167.09766,-1.6785946,0.7065926,0.85461451,3.300808,2.3398192,0.965132913,0.172909288
1092,Annual,462355,114355,TRUE,-52.814003,-0.07912195,0.79953253,0.783183751,0.15365316,0.36124045,28.0343373,3.251122622
1108,Annual,465875,394485,TRUE,-81.612625,-0.39937127,-0.047995456,0.125500106,0.35436666,0.33434042,15.9485157,1.14080318
1116,Annual,448265,182115,TRUE,-11.9216175,0.05817306,0.25974125,0.243365639,1.58197,0.980868,18.59429013,3.195335229
1119,Multiannual,489605,366055,FALSE,-136.77551,-1.0918236,0.8081605,0.801602065,2.9321375,1.7783206,1.823101157,0.301510467
1120,Multiannual,467865,184125,TRUE,-848.82874,-4.3971434,-0.23643267,-0.278862322,0.8180236,6.250465,96.9608508,0.621193743
1121,Annual,490105,327025,FALSE,-322.87857,-0.9560791,0.102948725,0.131770702,1.6367958,2.6174192,24.5160111,0.877439935
1127,Annual,614960,318020,TRUE,-3965.8018,-47.284107,0.1761655,0.103459536,49.223343,3.279133,0.544602579,0.417539538
1137,Annual,451585,142555,TRUE,-74.7522,-0.6548414,-0.09329122,-0.068244022,0.6471012,2.1910841,28.31822113,1.19836968
1148,Annual,426272,162664,TRUE,-9.820241,-0.41351485,0.51208854,0.574197535,0.84226656,2.3172312,8.740033829,0.52773921
1162,Annual,501855,369645,FALSE,-254.60307,0.047142625,0.74949634,0.713040105,0.24661572,0.47312605,10.68124724,0.503840529
1163,Annual,571006,337418,TRUE,-147.47348,0.3538524,0.656582,0.749687041,0.49234667,0.7954067,15.27175762,0.637520041
1172,Annual,607856,150448,TRUE,-52.205254,-0.069821596,0.36619827,0.375639265,0.38089475,0.4003985,25.99082699,2.224207692
1173,Annual,550640,105680,TRUE,-32.028164,-1.1460593,-0.1755322,-0.163515822,1.5302446,2.7153864,5.931654117,0.64604617
1184,Annual,555265,133204,FALSE,-515.3586,-62.83925,0.46147662,0.502147246,64.828606,2.0467856,0.317614358,0.895018738
1188,Decadal,513965,422615,TRUE,-716.47656,-4.315212,0.33906406,0.327619664,4.95986,4.4834347,1.466238084,0.219541531
1205,Multiannual,378375,263555,TRUE,-277.31583,-0.7431772,0.5294231,0.473743404,0.6329278,2.6378345,19.34920091,0.429747629
1213,Annual,510601,471998,TRUE,-30.018166,-0.00263226,0.19486088,0.175120736,0.46278256,0.73842853,28.41923099,2.798601321
1225,Annual,625064,162957,TRUE,-51.42961,-1.1760788,0.74473846,0.728304867,2.8733032,2.0774598,1.138985422,0.301119838
1230,Multiannual,487499,432648,TRUE,-57.59087,-5.0196924,0.30377552,0.377245443,6.978331,1.1080384,0.56786955,0.449524055
