No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2784,Annual,398824,143816,51.193559,-2.018203,0.88809824,0.85370123,0.94613874,0.940187125,0.98582023,0.86471814,0.7401791,0.6486575,0.90537715,0.914389175,0.8832159,0.68243206
2799,Annual,452455,135055,51.112392,-1.252031,0.85519814,0.93554825,0.9434035,0.945585689,1.0066446,0.96988887,0.867702,0.948823,0.9615763,0.947889883,1.0067501,0.9668776
2800,Annual,478065,146645,51.213677,-0.883732,0.90247905,0.87242377,0.9584852,0.96424065,0.98512137,0.8802888,0.8567283,0.8192121,0.93112445,0.93392738,0.9970506,0.83287233
2809,Annual,403410,164286,51.377612,-1.952387,0.8117966,0.7921347,0.9099401,0.917568294,1.0444851,0.8180162,0.72566617,0.6862495,0.8877685,0.902392692,1.0889359,0.7208339
2811,Decadal,440545,462323,54.05526,-1.382139,0.7284446,0.81303453,0.86456674,0.865711628,1.0142146,0.8718924,-1.3722034,0.71159923,0.7923268,0.634957918,1.0827957,0.81781626
2818,Multiannual,491690,138410,51.137626,-0.690814,0.61876553,0.71756613,0.7871863,0.725764626,0.999357,0.81431603,-0.015278816,0.19593716,0.43344045,0.367355886,1.025737,0.43003106
2820,Multiannual,441224,453303,53.974143,-1.372987,0.61945105,0.64490646,0.7919964,0.812485807,1.0600139,0.71853286,-0.60207355,-0.040289283,0.22389081,0.332452704,0.4406874,0.59131485
2826,Annual,390310,185982,51.572616,-2.141205,0.8513614,0.81884056,0.92775124,0.912102979,1.0243903,0.83567154,0.71515155,0.5943992,0.89582163,0.885393908,1.0857242,0.61749506
2828,Annual,425455,145155,51.205039,-1.637012,0.93151265,0.9338688,0.96750987,0.96737672,0.99072504,0.94315225,0.8779839,0.9178915,0.95594066,0.939887198,0.9776715,0.9344106
2832,Annual,507285,437161,53.819651,-0.371792,0.69075394,0.68689895,0.84285307,0.842496596,1.0965921,0.7470042,0.810024,0.75038946,0.9173497,0.920252921,1.1023917,0.7878915
2833,Annual,506761,464214,54.062805,-0.370302,0.7529645,0.61191326,0.9189185,0.924229921,0.9396294,0.6253107,0.5082892,0.4860099,0.7566086,0.835840646,0.8724791,0.5656219
2840,Annual,598710,321850,52.757691,0.943312,0.8710863,0.9264921,0.93590784,0.939779838,1.0016718,0.964046,0.75127774,0.86557424,0.8918886,0.830087248,1.002163,1.0798616
