No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
1377,Annual,397812,209071,TRUE,-612.13477,0.11747676,0.29902098,0.343696805,0.47687173,1.1175292,16.79161081,0.355208188,61,2.464238776,1.469729264,282.8757479,7.50607898,0.006513683,4.435855198,98566.54768,319.3296787,121.6512503,219.9648895,3.632209301,51.80000305,22,42,36,1.399999976,0,0,0,0,184,0.02,2.86389235,33.8351016,51,0,Oolites,loam,
1384,Annual,500050,174076,FALSE,-0.19118261,0.3043089,0.33225614,0.299230954,0.96974725,0.80715907,2.061384628,0.226147632,52,1.621686749,1.467400517,284.3043645,8.449890581,0.006894551,3.467859627,101376.2398,323.8632812,120.3159972,16.94869232,0.473169565,2.800001144,22,41,37,1.399999976,29,37,34,1.350000024,100,0.005,17.33083025,1196.936635,251,0,Chalk,loam,clay loam
1386,Decadal,547246,173338,TRUE,-1099.5326,-5.6501055,0.43638027,0.332892942,2.0813627,7.5373945,4.60670438,0.153784395,50,1.600383347,1.455939155,284.2654206,8.545290384,0.006893579,3.541493023,101153.2139,322.8776972,119.3709887,24.30730438,2.700993538,0,10,82,8,1.590000033,17,75,8,1.5,100,0.005,6.761473924,3503.327754,1,67.25927734,Chalk,loamy sand,sandy loam
1388,Annual,591599,341350,FALSE,-101.6089,0.30964738,0.6762166,0.671822155,0.7502065,1.5561979,36.82640666,0.914015167,1517,1.824479731,1.526651085,283.5693855,7.787020949,0.006681616,5.195529604,100918.4185,320.42876,120.1761505,47.50023651,0.688787043,17.40000153,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,60.27688877,40.03362612,5001,0,Chalk,sandy loam,sandy loam
1393,Annual,545455,381985,FALSE,-41.220596,-0.26103222,0.117983885,0.09102845,0.64177394,1.8270022,6.135425214,0.355078531,57,1.765826944,1.502680764,283.5615616,6.437349428,0.006665913,4.888855286,101205.7425,321.3323901,119.5689709,6.993144512,0.350915432,0.099999905,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,9.090558859,79.38593981,751,0,Chalk,loam,clay loam
1420,Annual,406000,137004,TRUE,-4042.2288,-11.7400255,0.25762415,0.356161053,12.78424,5.78427,1.493775857,0.277920099,1759,2.126396493,1.483177179,283.8894164,8.146276078,0.006856763,3.617101897,100339.365,322.9044497,125.6715817,66.22968292,4.088888645,6.900001526,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,5.440940073,51.01023031,51,0,Chalk,loam,clay loam
1437,Multiannual,341957,356451,TRUE,-1.4559929,0.16535753,0.43043366,0.40054305,1.0150019,1.609919,16.49589872,0.494859931,51,1.729791892,1.40308878,283.6600631,6.877820409,0.006696642,3.755785749,101041.5716,324.4784058,115.4967803,25.7278595,3.919634581,16,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,1.108528517,83.78111193,1,0,Triassic Sandstone,loam,clay loam
1440,Annual,396629,102247,TRUE,-0.48343372,0.33144826,0.82735646,0.800370942,0.8459656,0.37276086,23.81127882,3.740866694,1803,2.406736032,1.532075987,284.1866172,7.90585989,0.006981642,4.36898228,100762.6183,323.6938256,126.1813935,50.6910553,1.629632354,12.79999924,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,15.40605869,150.7062285,101,0,Lower Greensand,loam,loam
1443,Annual,551861,103777,TRUE,-850.64716,-2.5224288,0.68526185,0.661375178,1.7584293,4.4253864,28.57808355,0.749121404,58,2.294742616,1.506324368,284.2133006,6.103997887,0.007079603,4.159960357,100795.458,321.9698312,128.276424,31.72394562,11.9659481,19.59999847,19,37,44,1.409999967,0,0,0,0,550,0.015,7.321992327,246.8699212,1,0,Chalk,loam,
1452,Annual,418290,136086,TRUE,-0.5168346,-0.040064454,0.8961366,0.927679461,0.97733337,2.034626,1.565837453,0.230362034,54,2.191894854,1.485369783,284.0229469,8.146276078,0.00688715,3.570627257,100609.2804,323.2827235,125.075903,61.99250412,1.708024144,4.799999237,19,37,44,1.409999967,0,0,0,0,550,0.015,11.66632879,141.3178244,51,0,Chalk,loam,
1458,Multiannual,472475,183405,TRUE,-46.60601,-0.810339,-0.11199684,-0.08125233,0.8636519,2.4220424,61.51928129,1.323007524,57,1.894085435,1.533566762,283.7404122,8.154764635,0.006727853,4.243603833,100250.9754,321.8168501,123.4501529,104.9206848,3.021537542,29.69999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,3.607720418,258.7297093,251,0,Chalk,sandy clay loam,clay loam
1461,Annual,587342,278990,TRUE,-13.811833,-0.035037875,0.64824957,0.751404267,1.1066192,1.9675812,21.4259125,0.646352168,46,1.714293539,1.509715356,283.9979954,8.134556528,0.006741229,4.128603714,101339.2914,321.8409107,119.2497667,36.37960815,2.490457535,26.60000229,8,76,16,1.610000014,8,76,16,1.150323987,550,0.015,63.39277536,207.6141273,5001,282.1756287,Chalk,sandy loam,sandy loam
