No,P,PET,tas,dtr,huss,sfcWind,psurf,rlds,rsds
2,1.8226182168194174,1.4054431422442195,283.1737634479558,7.6737342888579505,0.006548313293015918,3.76530243600724,100541.384378115,321.38058857069933,116.74501388240755
3,1.689595804142608,1.4207665412975823,283.6907709759153,6.38185531147153,0.0068251977702770425,4.143506648669081,101266.24958188314,321.3661877423546,118.95750400744815
10,1.6050953625154833,1.3808984582119177,283.4087298055594,8.253918986570142,0.006636811082393615,3.763375275682259,100933.10808139587,320.1450853204325,114.6818552729361
16,1.7024177441297181,1.4533385259967873,282.8816760374031,7.94099030807462,0.006403426076147385,4.725509030446424,100299.76863153743,318.53219651631167,113.88909116395195
19,2.19656596365283,1.4088685234020206,282.9890078732191,7.367098251297044,0.00651512513441459,3.8294099891233935,100113.00097823565,320.7570129082556,118.26917538957726
20,2.641797760814043,1.3957528034494806,282.8580256392408,6.3612789494872155,0.006336199056522345,4.519472753031696,101263.06864425263,322.13108680031553,109.87218719404612
25,1.7082138360620784,1.4600999268165546,282.796847832382,7.966193337045802,0.006387228131607034,4.834172501684534,100221.30967914984,317.92903980880783,115.20287659425031
27,1.7021346688177217,1.4119192692146727,282.61618447213334,7.343361653543089,0.006255618698719198,4.626458817262981,100971.36917420762,319.98090890203724,111.62758269929
28,1.5779850551628671,1.500417098153685,283.3697101197272,6.800259881553668,0.0065845769140656174,4.899136821648336,101108.85946842081,320.0151097693628,117.30327218689963
30,2.230664994195225,1.4579218720822302,282.8830381335561,7.367098251297044,0.006487684753389948,4.590275432646062,99892.3472200566,320.2633907211472,119.39649801932805
36,2.1517332586715954,1.4196901516093878,283.40112479418997,7.947018428650982,0.006664039314297647,3.633861298544434,100781.57385029468,321.2534012316117,121.03159431825144
39,1.688913637500339,1.4743499863165497,283.10475248364196,7.574602080240383,0.006465787459037542,4.927993784636874,101140.56644596039,320.0423034312497,114.5586052691772
40,2.172903613781224,1.3830168530819602,282.7147842233978,7.947018428650982,0.006431045252169474,3.711906415004873,99585.69116617941,318.77895494872155,117.79987264538958
41,2.0809179071401096,1.3789127021725007,283.1288194185345,7.947018428650982,0.0065722745630330875,3.700374920774978,100314.25464661933,320.48039995916287,116.9130137981345
42,2.0809179071401096,1.3789127021725007,283.1288194185345,7.947018428650982,0.0065722745630330875,3.700374920774978,100314.25464661933,320.48039995916287,116.9130137981345
43,1.7153092946724426,1.4234649981887337,282.65712214580725,7.19785142088264,0.006274807586064319,4.633708116045756,101020.30785804446,320.22560054341267,112.52439159501603
44,2.1674138004355323,1.3688391615760314,282.6687600593995,7.947018428650982,0.006431504787730288,3.748711651889183,99463.05535969186,318.689035830433,117.20555229486288
47,1.898515010992974,1.428335315113879,282.65782799109,7.456531632785745,0.006376207529254258,4.72641276123254,99995.1431457144,320.76507936563183,115.29955695948769
